created_at,user,retweet_count,favorite_count,followers,is_verified,clean_text,sentiment
Wed Jul 27 21:29:36 +0000 2022,WendellMoone,292,1331,3655,False,The founder of likely wouldnt dump on retail at the top of the market. But Vitalik will dump his ETH on you. Time to wake up. Ethereum is a scam.,Negative
Mon Jul 04 13:25:36 +0000 2022,yassine_elman,277,1213,105420,False,1/ Bitcoin is trading below its 200 WMA and short-and long-term cost bases for only the fourth time in price history. These levels have historically marked generational bottoms.,Neutral
Fri Jul 22 08:41:28 +0000 2022,GemsFinderr,22,93,61687,False,"Morning everyone! The is on the plus side today, most of the alts are green. is now trading around $23,000, is trading above $1,550 and above $260! Bitcoin dominance: 42.82%; Fear and Greed Index: 33 (fear);",Positive
Wed Jul 27 16:58:03 +0000 2022,el_crypto_prof,124,587,155596,False,"$BTC Yes, the last FOMC-Meetings were terrible for the market, but I think this time, it could be the start of a strong rally for $BTC. - $BTC is in a descending broadening wedge and could break out soon. -RSI-Trendline is also holding -Target ~$42.000 Dollar",Positive
Sun Jul 17 17:07:12 +0000 2022,CryptoTony__,10,196,525216,False,"$BTC / $USD - Market structure update Those saying we have bottomed need to zoom out lol, how can you say that based on a simple range bound I played the long, but am i saying we have bottomed here, definitely not. Need more data and a break in market structure",Negative
Tue Jul 26 09:11:05 +0000 2022,el_crypto_prof,156,781,155596,False,$BTC I hope you noticed that $BTC recently broke out of a downtrend channel that lasted over 4 months. Bitcoin is only in the process of retesting the breakout before going significantly higher.,Positive
Sat Jul 02 07:59:04 +0000 2022,DaCryptoGeneral,28,230,229059,False,$BTC (1D) scenario looks bearish. We are seeing huge influx of to exchanges amidst the global macro economic outlook I believe $BTC will hold the crucial $18.5k level in order to create the demand zone for a leg up to $21k Placing my orders in and around $18.5k levels,Neutral
Thu Jul 28 16:47:34 +0000 2022,el_crypto_prof,91,492,155596,False,"$BTC Another huge sign that the current downtrend is over. - $BTC tries to break the EMA Ribbon (D) upwards. The last time this happened, $BTC went up almost 140% in price. -Volume underlines the breakout and is even more violent than 2021.",Positive
Tue Jul 19 08:03:12 +0000 2022,MartiniGuyYT,27,121,687870,False,"BITCOIN HUGE BOOST!! MORGAN STANLEY MANIPULATION!!! ETHEREUM TO $2,000!?! Bitcoin Mining Cost!! In Todays Video: - Mining Data - Crypto News - Altcoins Overview - Traditional Market Data WATCH THIS VIDEO LINK BELOW",Positive
Sat Jul 30 03:56:02 +0000 2022,woonomic,742,3745,1198350,False,bear market accumulation visualised. It's one from my private collection. Use it at your own discretion to time your generational bottom entry.,Neutral
Thu Jul 07 19:15:35 +0000 2022,ErnestScalps,25,214,21210,False,"market. 1- MM have been selling while the price has been in a range (20.3k and 20.6k). 2- The recent pump has been used for short liquidation, more than 3 MUSD in a minute. 3- Also the last pump is being sold. Therefore, it is possibly a pump and dump...",Negative
Fri Jul 01 00:35:22 +0000 2022,RAFAELA_RIGO_,71,506,153442,False,$BTC &amp; MARKET UPDATE The Ideal Scenario would be an upside to 29K before we go even lower towards 14k. A little Green before more downside. The market will follow BTC.,Neutral
Tue Jul 19 06:42:27 +0000 2022,Coins_Kid,27,231,149870,False,Something like this is what the majority are expecing for going forward. This is the bear market -85% drawdown from the ATH november 2021. Anything can happen this is If we do see the June 18th low lost at any point then this would have to be the play IMO,Negative
Wed Jul 27 09:46:14 +0000 2022,OfficialTravlad,84,382,466028,False,Good Morning gang! How are we feeling about the market today? pump if the fed news is as expected?,Positive
