created_at,user,retweet_count,favorite_count,followers,is_verified,clean_text,sentiment
Sat Sep 17 11:04:55 +0000 2022,memecoin_degens,47,97,118858,False,Leaderboard Projects By Galaxy Score $PIT $HODL $DOGE $KIBA $MONSTA $MILO $CATE $DOGEC,Neutral
Sat Sep 10 17:44:17 +0000 2022,ShibaInformer,95,1407,36718,False,"What do you prefer, $SHIB or $DOGE?",Neutral
Tue Sep 20 15:40:25 +0000 2022,Cryptolaxy,40,85,31223,False,MARKET WEEKLY OVERVIEW Within the last week: gained 38.1% and headed Weekly Price Gainers got 1st place in the Top-5 PJTs by Galaxy Score $GDOGE $PIT $DOE $MONSTA $SHAK $CORGI $BAN $LEASH $KISHU $FLOKI $DOGE $TSUKA $QUACK,Positive
Sat Sep 17 23:43:31 +0000 2022,GreatMoonshot,41,94,7136,False,Top projects by AltRank today! (17/09/22) $SUZUME $SHIB $DOGE $TSUKA Do you any of these 's? Tell us down below! Follow us for daily updates!,Neutral
Sun Sep 25 15:00:13 +0000 2022,cryptojack,38,428,449987,False,Any $DOGE holders here?,Neutral
Sat Sep 24 15:54:19 +0000 2022,ShibaInuHodler,73,537,479380,False,$SHIB or $DOGE?,Neutral
Sun Sep 18 16:34:12 +0000 2022,IanJeffreys1,18,49,555,False,"Hello Protonians! Do only good everyday. To celebrate the $DOGE- $METAL farm I am giving away 21,000 $MAGIC tokens to the first 10 people to like and reply with the their proton account. $XPR $MTL $METAL $DOGE",Positive
Tue Sep 27 17:00:56 +0000 2022,cryptojack,38,288,449987,False,Any $DOGE fam here?,Neutral
Thu Sep 15 20:43:00 +0000 2022,JakeGagain,59,403,388193,False,$SHIB Deserves To Flip $DOGE.,Negative
Mon Sep 26 15:53:22 +0000 2022,UstcClassic,55,232,2655,False,"2013 - You missed $BTC 2014 - You missed $DOGE 2015 - You missed $XRP 2016 - You missed $ETH 2017 - You missed $ADA 2018 - You missed $BNB 2019 - You missed $LINK 2020 - You missed $DOT 2021 - You missed $SHIB In 2022, dont miss",Positive
Thu Sep 22 17:00:50 +0000 2022,cryptojack,61,659,449987,False,Are you still holding your $DOGE?,Neutral
Fri Sep 23 16:39:15 +0000 2022,davidgokhshtein,33,460,801702,False,Cuban thinks $DOGE has more utility than $ADA.,Positive
Thu Sep 29 04:29:12 +0000 2022,davidgokhshtein,114,511,801702,False,Still got bags of $DOGE. Waiting for it to go parabolic.,Positive
Wed Sep 28 08:00:22 +0000 2022,TheMoonCarl,62,717,1502264,False,Do you think $DOGE should move to Proof of Stake?,Neutral
