created_at,text,user,retweet_count,favorite_count,followers,is_verified
Mon Feb 14 16:19:02 +0000 2022,Got $FUN? Take a look at what you can do with your holdings,FUNtoken_io,26,88,58044,
Mon Feb 07 15:44:44 +0000 2022,The latter half of $FUN's 2022 features new upgrades to the gambling experience on our ecosystem. Take a look at our plans for Q3,FUNtoken_io,56,157,58044,
Sat Feb 05 15:15:13 +0000 2022,"Lock $FUN for HIGH-YIELD SAVINGS (up to 45% APY) at Binance. With Binance Savings and FUNToken Savings at , you can maximize your $FUN savings!",FUNtoken_io,17,86,58044,
Thu Feb 17 13:27:43 +0000 2022,"and users - link your account and take advantage of seamless $FUN transfers between the two platforms. Deposits and withdrawals made simpler; meanwhile, you can boost your Premium Benefits at FreeBitcoin too! Connect your FreeBitcoin account to dPlay now!",FUNtoken_io,10,49,58044,
Wed Feb 09 15:08:30 +0000 2022,"Looking to trade $FUN? Binance, HitBTC, Bitfinex, OKEx, Changelly, and Uniswap - these major exchanges allow you to buy, sell, and trade $FUN in multiple pairings.",FUNtoken_io,18,68,58044,
Thu Feb 03 13:23:39 +0000 2022,"FreeBitcoin x dPlay Integration: No Signup Needed, Seamless Deposits &amp; Withdrawals Your $FUN balance at dPlay counts towards Premium Benefits at FreeBitcoin too! Link your FreeBitcoin account to dPlay now!",freebitco,68,208,449847,
Tue Feb 08 16:40:50 +0000 2022,Lock $FUN from 15 to 360 days at and earn up to 25% APY on your tokens! Over 900 MILLION $FUN has been locked in savings at FreeBitcoin. Visit FreeBitcoin and get started!,FUNtoken_io,12,53,58044,
Sat Feb 05 15:10:38 +0000 2022,"Grow Your Holdings - Earn Up To 25% APY at ! The best part: your benefits stay intact. Furthermore, your balance + earned savings BOTH count towards your benefits. Head over to FreeBitcoin and start saving now! $FUN",freebitco,77,191,449847,
Sat Feb 12 15:13:30 +0000 2022,"At , you can do ALL your travel bookings using $FUN! From flights to hotel, from tours to activities, book 'em all with FUNTokens at",FUNtoken_io,16,59,58044,
Thu Feb 10 18:02:27 +0000 2022,$FUN will round off 2022 with developments that will draw us closer to achieving our mission of decentralized online gambling for all. Fully-decentralized casino games and a dedicated fully-decentralized Poker ecosystem to come. Stay tuned!,FUNtoken_io,12,68,58044,
Fri Feb 18 09:25:29 +0000 2022,  Still available!,psilocybin_nz,0,1,1646,
Mon Feb 21 13:37:52 +0000 2022,"This week, introduced a host of new games by FunFair Technologies and Spearhead Studios. Use your $FUN to wager and play 4 NEW VIDEO SLOTS and 1 NEW INSTANT GAME: Bounty on the High Seas, Cyber Hunter 2080, Shamrock Treasures, Five Ball Fiesta, and The Wheel of Steal!",FUNtoken_io,9,50,58044,
Fri Feb 11 17:13:44 +0000 2022,"At , you can use your $FUN to earn extraordinary benefits including cashbacks and free spins. You can even purchase $FUN directly from FreeBitcoin! Join FreeBitcoin Premium today. Head over to FreeBitcoin to get started!",FUNtoken_io,15,65,58044,
Fri Feb 18 17:05:43 +0000 2022,Check out today's Crypto Daily Gainer List 1 $DIA () 2 $ASTR () 3 $ALPACA () 4 $NMR () 5 $FUN (),CryptoCrunchApp,1,11,40403,
Thu Feb 03 13:25:44 +0000 2022,"Take your gambling experiences to the next level with $FUN! From live casino games, video slots, and table games at to earning extraordinary Premium Membership Benefits at - make the most of your $FUN now!",FUNtoken_io,11,49,58044,
Tue Feb 15 16:15:27 +0000 2022,"Love card games? Use $FUN to play classic table games like Poker, Blackjack, Baccarat, Roulette, and more in MULTIPLE VARIATIONS at . Start playing at or connect your account to dPlay now -",FUNtoken_io,10,37,58044,
Wed Feb 02 22:55:06 +0000 2022,"$FUN I see moves 1,2,3 steps ahead",Betsandstonks,0,1,1017,
Wed Feb 23 05:36:36 +0000 2022,What were they thinking when they created this? Wrong answers only $magic $fun,rlmverse,2,63,18653,
