created_at,text,user,retweet_count,favorite_count,followers,is_verified
Tue Oct 25 13:00:00 +0000 2022,"Woof! You asked, we listened. Again! Were listing  $SHIB in the US. Read more here:",Bitstamp,1480,5116,529270,False
Sun Oct 30 17:55:13 +0000 2022,You missed $SHIB and Just listed CMC Don't miss $CORD - Still only 600k$ mcap! Check it Cordium wallet and swap is coming Website: Chart: Telegram,ShibaInuHodler,460,413,479400,False
Wed Oct 26 19:37:21 +0000 2022,Did you know that the Shiba Inu Ecosystem has its very own Mobile App game that will burn $SHIB with 5% profits? Let's Go !,ShibArmy_4Life,87,266,21772,False
Tue Oct 11 00:21:21 +0000 2022,Investing in is investing in our future.,ShibSpain,53,179,61679,False
Sat Oct 29 07:43:06 +0000 2022,"Congratulate SHIB on the new chain and the strategic cooperation between consensus laboratories Alpha Coin, Matcha and huobi. More good news will be released soon... Please wait",ShibInfo,199,840,613739,False
Sat Oct 29 18:52:24 +0000 2022,This is happening in Argentina. Our dear community members have told me that they are making this beautiful site for Shiba Inu Players. We will surely see combat events. Stay tuned. You are a rock  MASSIVE EXPANSION OF SHIBA INU. Woof woof!,ShibaXanders,392,1239,26930,False
Fri Oct 28 18:41:23 +0000 2022,"WAIT WHAT!? SHIBA INU || OVER $80,308,240 US DOLLARS!",Yourpop8,42,223,248173,False
Thu Oct 06 06:19:50 +0000 2022,"$SHIB I cried when I saw the sad reality. It seems they don't care about us Japanese. Out of the mosquito net It's a Japanese dog story, but, unfortunately, it wasn't available in Japanese # # # # #",SHIBjpn,54,276,8912,False
Sat Oct 22 18:16:37 +0000 2022,Can Shiba Inu ( $SHIB ) reach 1 CENT?,ShibaInuHodler,134,857,479400,False
Sat Oct 29 17:54:19 +0000 2022,: Shytoshi Kusama provides an update about,VinodJason,118,327,2639,False
Sun Oct 30 11:57:25 +0000 2022,Shiba Inu ( $SHIB ) Will Follow The Dogecoin ( $DOGE ) Pump Next Week!,ShibaInuHodler,110,644,479400,False
Sun Oct 30 22:42:07 +0000 2022,Shiba Inu: Shytoshi Provides An Update About,Shibsweety,62,175,4843,False
Mon Oct 17 00:16:49 +0000 2022,"A new establishment adds to the usability of Shiba Inu in Venezuela, this business belongs to a Holder who is starting in the world of fashion. Please welcome MUSAfashion. the 130 establishment to accept Shiba Inu as a payment method. Woof Link Instagram:",ShibaXanders,65,208,26930,False
Sat Oct 29 17:27:27 +0000 2022,SHIBA INU TO THE MOOOOOOOOOOOOOOONNNNN!!!!!!!!,Yourpop8,160,1011,248173,False
Thu Oct 27 00:40:52 +0000 2022,Shiba Inu is primed! Who is ready for the bull market? Pay attention to certain metrics! New video:,Yourpop8,64,295,248173,False
Thu Oct 06 00:20:16 +0000 2022,Why The Shiba Inu Price Could See Some Major Upside This Week via ,CryptoArmy555,56,174,21214,False
Wed Oct 26 08:23:12 +0000 2022,"$1,000 Investment in Shiba Inu Turns Into $19 Million in October 2022",cakebluewine,56,192,10308,False
Sun Oct 30 13:59:49 +0000 2022,Shiba Inu ( $SHIB ) SHIBARIUM IS GOING TO BE HUGE FOR CRYPTO!,SHIBpossessor,60,293,50388,False
Thu Oct 27 17:34:14 +0000 2022,TOP 10 MEME TOKENS BY SOCIAL SCORE 27.10.2022 1 $QUACK 2 $DOGE 3 $SHIB 4 5 $FLOKI 6 $TSUKA 7 $MONSTA 8 $PULI 9 $CATE $VINU,TheGemHunters,147,219,74712,
Sun Oct 30 17:55:13 +0000 2022,You missed $SHIB and Just listed CMC Don't miss $CORD - Still only 600k$ mcap! Check it Cordium wallet and swap is coming Website: Chart: Telegram,ShibaInuHodler,443,412,479402,
Thu Oct 27 15:32:32 +0000 2022,$SHIB TO $0.1 IN 2023? NO YES YES,ShibInfo,336,2320,613754,
Thu Oct 27 10:44:00 +0000 2022,"The beauty about $VOLT is that when: or start to , it's or $SHIB start to , it's start to , it's $UNI or start to , it's going to be",VoltInuOfficial,169,256,140609,
Sun Oct 30 16:17:28 +0000 2022,TOP 10 MEME BY SOCIAL DOMINANCE 30.10.2022 1 $DOGE 2 $SHIB 3 $QUACK 4 5 $PULI 6 $FLOKI 7 $TSUKA 8 $SPKY 9 $KIBA $ELON,TheGemHunters,54,128,74712,
Sat Oct 29 17:07:29 +0000 2022,You missed $SHIB $TSUKA $MRI and $CULT Utility Project Don't miss $CORD - Still only 500k$ mcap! Check it Cordium wallet and swap is coming Website: Chart: Telegram,DaCryptoGems,431,356,91738,
Sat Oct 29 11:13:15 +0000 2022,$SHIB = $1 Impossible Possible,ShibaInformer,278,3301,36721,
