created_at,user,retweet_count,favorite_count,followers,is_verified,clean_text,sentiment
Tue Oct 25 13:00:00 +0000 2022,Bitstamp,1480,5116,529270,False,"Woof! You asked, we listened. Again! Were listing $SHIB in the US. Read more here:",Positive
Sun Oct 30 17:55:13 +0000 2022,ShibaInuHodler,460,413,479400,False,You missed $SHIB and Just listed CMC Don't miss $CORD - Still only 600k$ mcap! Check it Cordium wallet and swap is coming Website: Chart: Telegram,Positive
Wed Oct 26 19:37:21 +0000 2022,ShibArmy_4Life,87,266,21772,False,Did you know that the Shiba Inu Ecosystem has its very own Mobile App game that will burn $SHIB with 5% profits? Let's Go !,Positive
Sat Oct 29 07:43:06 +0000 2022,ShibInfo,199,840,613739,False,"Congratulate SHIB on the new chain and the strategic cooperation between consensus laboratories Alpha Coin, Matcha and huobi. More good news will be released soon... Please wait",Positive
Fri Oct 28 18:41:23 +0000 2022,Yourpop8,42,223,248173,False,"WAIT WHAT!? SHIBA INU || OVER $80,308,240 US DOLLARS!",Positive
Sat Oct 22 18:16:37 +0000 2022,ShibaInuHodler,134,857,479400,False,Can Shiba Inu ( $SHIB ) reach 1 CENT?,Neutral
Sun Oct 30 11:57:25 +0000 2022,ShibaInuHodler,110,644,479400,False,Shiba Inu ( $SHIB ) Will Follow The Dogecoin ( $DOGE ) Pump Next Week!,Positive
Sun Oct 30 22:42:07 +0000 2022,Shibsweety,62,175,4843,False,Shiba Inu: Shytoshi Provides An Update About,Neutral
Mon Oct 17 00:16:49 +0000 2022,ShibaXanders,65,208,26930,False,"A new establishment adds to the usability of Shiba Inu in Venezuela, this business belongs to a Holder who is starting in the world of fashion. Please welcome MUSAfashion. the 130 establishment to accept Shiba Inu as a payment method. Woof Link Instagram:",Positive
Sat Oct 29 17:27:27 +0000 2022,Yourpop8,160,1011,248173,False,SHIBA INU TO THE MOOOOOOOOOOOOOOONNNNN!!!!!!!!,Positive
Thu Oct 27 00:40:52 +0000 2022,Yourpop8,64,295,248173,False,Shiba Inu is primed! Who is ready for the bull market? Pay attention to certain metrics! New video:,Positive
Thu Oct 06 00:20:16 +0000 2022,CryptoArmy555,56,174,21214,False,Why The Shiba Inu Price Could See Some Major Upside This Week via,Positive
Wed Oct 26 08:23:12 +0000 2022,cakebluewine,56,192,10308,False,"$1,000 Investment in Shiba Inu Turns Into $19 Million in October 2022",Positive
Sun Oct 30 13:59:49 +0000 2022,SHIBpossessor,60,293,50388,False,Shiba Inu ( $SHIB ) SHIBARIUM IS GOING TO BE HUGE FOR CRYPTO!,Positive
Thu Oct 27 17:34:14 +0000 2022,TheGemHunters,147,219,74712,,TOP 10 MEME TOKENS BY SOCIAL SCORE 27.10.2022 1 $QUACK 2 $DOGE 3 $SHIB 4 5 $FLOKI 6 $TSUKA 7 $MONSTA 8 $PULI 9 $CATE $VINU,Neutral
Sun Oct 30 17:55:13 +0000 2022,ShibaInuHodler,443,412,479402,,You missed $SHIB and Just listed CMC Don't miss $CORD - Still only 600k$ mcap! Check it Cordium wallet and swap is coming Website: Chart: Telegram,Positive
Thu Oct 27 15:32:32 +0000 2022,ShibInfo,336,2320,613754,,$SHIB TO $0.1 IN 2023? NO YES YES,Positive
Sun Oct 30 16:17:28 +0000 2022,TheGemHunters,54,128,74712,,TOP 10 MEME BY SOCIAL DOMINANCE 30.10.2022 1 $DOGE 2 $SHIB 3 $QUACK 4 5 $PULI 6 $FLOKI 7 $TSUKA 8 $SPKY 9 $KIBA $ELON,Positive
Sat Oct 29 17:07:29 +0000 2022,DaCryptoGems,431,356,91738,,You missed $SHIB $TSUKA $MRI and $CULT Utility Project Don't miss $CORD - Still only 500k$ mcap! Check it Cordium wallet and swap is coming Website: Chart: Telegram,Positive
Thu Oct 27 23:45:48 +0000 2022,ShibInfo,177,1131,613754,,Big News For This Week $SHIB,Positive
Fri Oct 28 16:57:31 +0000 2022,Cetoex,44,196,103271,,Which is the next $SHIB?,Neutral
Thu Oct 27 20:49:13 +0000 2022,SmallCapScience,152,530,108256,,"The blockbuster deal between and Twitter is being underestimated by the web 3 community. I've been reading between the lines and believe $DOGE. $SHIB, $DC, and $BONE are about to lead the crypto markets. Here's why $DOGE is a killer!",Positive
Thu Oct 27 10:23:38 +0000 2022,GenxAnalytics,195,259,41594,,ELITE-TIER BY MOST SOCIAL CONTRIBUTORS IN 24HRS $QUACK 1.7K $SHIB 1.6K $FLOKI 572 $VINU 368 $MONSTA 339 $CATE 212 $PULI 210 $KIBA 180 $SPKY 136 $TAMA 77 WHICH ARMY IS THE BIGGEST? COMMENT BELOW,Positive
