created_at,user,retweet_count,favorite_count,followers,is_verified,clean_text,sentiment
Thu Oct 20 17:14:11 +0000 2022,JManlet_OH,27,59,1997,False,"The floor price should be around 1200-1900 ada in the current market. OG 2021 mint, great art, active community and still building. Again...you're welcome.",Positive
Fri Oct 28 13:51:11 +0000 2022,AkMohanned,22,62,444,False,"Look at these guys! Hyped to be a part of the , an iconic project within the ecosystem. Both gone straight into meditation, got to stack some early $TRB so I can get in on the Tribe Market",Positive
Thu Oct 06 20:38:14 +0000 2022,FamousCloudzz,24,71,41639,False,Top Solana Twitter Spaces! Big Shoutout to these amazing twitter spaces hosted by such amazing people making this bear market more entertaining and informative than ever! Spreading positivity and laughter all around the ecosystem!,Positive
Wed Oct 19 12:34:37 +0000 2022,StarPlatinumSOL,30,76,53991,False,"Fvck bear market, fvck no royalties and fvck solana, I have joined to the vamps fam!! LFG",Negative
Fri Oct 07 20:49:02 +0000 2022,AlfonzoLeftover,14,26,923,False,"Update on holder earnings: Current ROI on 1 is 2-3 weeks just from raiding. Imagine what it becomes when we start to release our first arcade games and loot boxes. Under promise, over deliver is key in these market conditions. We coming.",Positive
Sat Oct 15 13:35:42 +0000 2022,SoDeadNFT,107,287,11312,False,"We are probably one of the few projects on Solana, planning to move to 0% royalties at certain point. Market forced this conditions now, which is not a real problem for those who know how to business and earn money. SoDead would live long. SoDead prepared. Brace yourself.",Neutral
Tue Oct 25 19:41:41 +0000 2022,SolanaPrincess,27,197,97020,False,Im so proud of Solana right now - look at the quality of our top 10 projects by volume today - every single one is a KILLER project building like crazy in this bear market now look at the Aptos,Positive
Tue Oct 18 22:48:33 +0000 2022,SolJakey,23,60,196500,False,"At this point, the BEAR MARKET is just accepted, SOLANA SUMMER was brutal.... BUT I have mentioned many times about seeking those PROJECTS that have shown sustainability/resistance during the BEAR to get them on SALE Heres a few that stand out HEAVY to me 1/7",Neutral
Tue Oct 18 16:08:54 +0000 2022,DegenerateNews,185,372,385198,False,BREAKING: 'S RASCALS IS THE ONLY COLLECTION OUT OF SOLANA'S TOP 10 BY MARKET CAP WHOSE 24H FP CHANGE IS POSITIVE,Positive
Mon Oct 24 20:45:22 +0000 2022,cardboard_z,22,43,22710,False,"There's an old market saying ""When your shoe shine boy talks to you about stocks, it's time to sell."" Well the opposite could be said for the inverse. ""When everyone is talking about how bearish the market is, it's time to build.""",Positive
Wed Oct 19 17:06:41 +0000 2022,JasCrypto_,25,87,112143,False,Im sorry for the stacking hack situation at solana nft market. community will handle it. Their founder recouping of all his community is a huge move.,Positive
Sun Oct 02 20:58:10 +0000 2022,crypto__mercy,67,296,5310,False,"did 9.70B on its 1st wave, and 15B,. 2nd wave for Solana rose to 78B because of the NFT market explosion. Lets say $EGLD Cap rose to 55B in 2024. This is a 2200$ for 1 single with a 25M supply. Lets say Cap reach 121B like did in 2018 its 4850$",Positive
Fri Oct 14 19:04:20 +0000 2022,SolanaLegend,36,107,190651,False,"0/A thread on fine art, 1/1 NFTs and why select pieces of digital native art could outperform just about everything over the next decade The perfect storm is forming for a market rebalance on Solana specifically PFPs come and go but art is forever... Get ready, NFA",Positive
Fri Oct 28 16:41:20 +0000 2022,itsALLrisky,191,847,373833,False,"is seeing massive volume right now, overtaking Solana in market cap and reaching its highest price in nearly 5 months! $DOGE is looking like it's ready to GO!",Positive
Wed Oct 19 14:05:21 +0000 2022,virtix_mind,74,110,6325,False,"Is evolving Solana NFTs? I studied to gain an appreciation of its origins, the market sentiment, and where it may go in future. Lets dive in [1/12] THREAD",Neutral
Sun Oct 02 08:31:56 +0000 2022,SolanaPrincess,18,73,97028,,Time in the market is better than Timing the market - dont paper hand your blue chips :),Positive
Thu Oct 13 15:08:08 +0000 2022,Markets_Onchain,49,100,14903,,"The market may be shifting, and it has the team thinking... Which blockchain is here for the long haul?",Neutral
Sat Oct 01 00:18:52 +0000 2022,LiveLambo,21,193,1987,,"Solana $SOL has been down for the last 3 hours Not a single mention on my feed Market is so dead no one cares anymore or ""solana down"" is the normal state that is not even worth mentioning it anymore",Negative
Sun Oct 30 20:21:46 +0000 2022,EasyEatsBodega,47,351,126391,,9999 supply selling out on a Sunday in the bear market. Solana is literally going NO WHERE. This is what its all fucking about.,Negative
Mon Oct 17 04:42:16 +0000 2022,slurix_xyz,35,237,1916,,The will become one of the most successful project on Solana since they do not rely on royalties. Everyone else will slowly bleed out over the next few months. July Income Royalties: 540 sol FFFlip: 1800 sol Tools: 400 sol Raffles: 900 sol Token Market: 300 sol,Positive
Mon Oct 17 17:59:46 +0000 2022,SolanaSensei,53,324,213077,,"If you doubt Solana when shit gets a bit uncomfortable, its okay to leave. There are many more obstacles on the way, so you might as well leave now. Only a minority of people in this space will make it out of this bear market. I truly hope you do!!",Negative
