created_at,user,retweet_count,favorite_count,followers,is_verified,clean_text,sentiment
Sat Jan 29 17:46:07 +0000 2022,xisscor,180,1093,1732,False,"$VRA trading volume on is currently 13 (~20M$) from all trading assets/pairs and in fact above such coins as $ADA, $XRP, $MATIC, $SAND. Great news as we are going away from bots which was one of the major concern raised by community.",Positive
Fri Jan 28 20:40:58 +0000 2022,neptune_xrp,229,831,3869,False,"Ripple threatens the decades of Financial control the big boys like Goldman, JPM, Blackrock etc. have had over, not only the decent honest American people, but also countries worldwide! They want control of Crypto and their man Gary is there to do it!! IMHO",Negative
Fri Jan 28 20:40:58 +0000 2022,neptune_xrp,229,831,3869,,"Ripple threatens the decades of Financial control the big boys like Goldman, JPM, Blackrock etc. have had over, not only the decent honest American people, but also countries worldwide! They want control of Crypto and their man Gary is there to do it!! IMHO",Negative
Thu Jan 27 04:09:42 +0000 2022,sentosumosaba,383,1211,271899,,"International television news coverage about and new Ripplenet member Attijariwafa Bank. Broadcasted to Africa, France and the Middle East.",Positive
Fri Jan 28 16:38:11 +0000 2022,WillyWonkaXRP,37,285,58171,,THIS is NOT true. Never trust a guy who YouTubes from a shitty apartment and looks like he just hit puberty. HODL the ODL !!,Negative
Tue Jan 18 21:00:00 +0000 2022,DiscoverCrypto_,92,545,1028339,,SEC - We know the case with $XRP is done and Ripple is in the clear. Let's finally get a move on,Positive
Fri Jan 28 18:39:25 +0000 2022,biddsonxrpl,284,911,37300,,We just made it to Ripples official Q4 report.,Positive
Mon Jan 17 14:05:39 +0000 2022,XRP_Productions,36,374,205232,,BREAKING! Nic Carter messages about Ripple!,Neutral
Wed Jan 26 19:11:54 +0000 2022,PrecisionTrade3,84,897,45163,,"is starting to move!! A break above $.655 likely invalidates a new low which means that was probably our bottom ($.55)!! RSI is strong right now.. if we break past $.655, our next resistance isn't until $.69! Let's goooo Wave 3!!",Positive
Sun Jan 30 21:41:42 +0000 2022,xrpmickle,156,662,56356,,"Ripple Total Sales of by Quarter! SOMETHING VERY INTERESTING XRP sales drop dramatically when Ripple first finds out they are being investigated by the SEC. Yet, now during the case, sales of XRP are ramping aggressively. Has this case already been settled?!",Neutral
Mon Jan 24 15:57:01 +0000 2022,PrecisionTrade3,136,1195,45168,False,"I don't believe in ""alt seasons"" or bear/bull markets but one thing is for sure.. MOST ALTS ARE ON WAVE 3! Here is Wave 3 target... $2!!",Positive
Sat Jan 22 18:50:49 +0000 2022,rezabashash,111,371,23223,False,How to confirm the amount of your Airdrop: 1- Go to: (CHANGE ADDRESS to your XRP address) 2- (SOLO BALANCE * 1.2420448858) + (XRP BALANCE * 0.004456338205) = Airdrop amount * Please note there is a 0.01% network burn fee.,Neutral
Sat Jan 29 14:26:03 +0000 2022,PrecisionTrade3,44,413,45168,False,"STILL ranging sideways between levels $.63 and $.595! A break above $.655 will invalidate a new low. Last time it tested that level, it couldn't break it! Let's see what happens this time. As long as BTC is under $38.2k, a double bottom is possible!",Neutral
Fri Jan 28 17:47:43 +0000 2022,Leerzeit,36,309,85770,False,"""Ripple can issue more xrp anytime they want! If you think I'm wrong get rekt!!!!!!!!!"" Will, 14",Negative
Thu Jan 27 22:01:51 +0000 2022,FilanLaw,407,1604,243858,False,v. Ripple has filed its response to the SECs Letter of Supplemental Authority.,Neutral
Fri Jan 21 17:05:36 +0000 2022,PrecisionTrade3,48,540,45168,False,right on track! Here's what's next! In this video I show you where we are headed in the next day or so and also our final bottom targets... WE ARE SOOO CLOSE!!,Positive
Fri Jan 28 20:02:00 +0000 2022,RippleXDev,204,653,187233,False,"Hands up if you're excited about XLS-20d -Devnet. can now access all essential NFT functionality including minting, trading &amp; burning on the NFT-Devnet. Learn more:",Positive
Thu Jan 27 19:40:23 +0000 2022,CryptoLuna5,73,209,47,False,Wow. If in 2018 Gary himself understood Hinmans speech to be an SEC official stance how could anyone else possibly believe it was just Hinmans opinion. If Ripple looses the Fair Notice defence I have no faith in the judicial system.,Negative
Sun Jan 30 21:41:42 +0000 2022,xrpmickle,156,662,56356,False,"Ripple Total Sales of by Quarter! SOMETHING VERY INTERESTING XRP sales drop dramatically when Ripple first finds out they are being investigated by the SEC. Yet, now during the case, sales of XRP are ramping aggressively. Has this case already been settled?!",Neutral
Fri Jan 28 12:25:22 +0000 2022,SirRobArtII1,108,738,54969,False,The reason Im still holding my bags. Identical set up that led to a massive green rocket. Took 4 years last time. Its been four years now again.,Positive
Fri Jan 28 17:47:43 +0000 2022,Leerzeit,36,309,85770,False,"""Ripple can issue more xrp anytime they want! If you think I'm wrong get rekt!!!!!!!!!"" Will, 14",Negative
Sun Jan 30 11:45:59 +0000 2022,InspoCrypto,49,422,41155,False,"Yesterday we have detected the biggest inflows on since 26Nov21 with a volume of almost 28,800 in one day.",Positive
Sat Jan 29 14:26:03 +0000 2022,PrecisionTrade3,44,413,45168,False,"STILL ranging sideways between levels $.63 and $.595! A break above $.655 will invalidate a new low. Last time it tested that level, it couldn't break it! Let's see what happens this time. As long as BTC is under $38.2k, a double bottom is possible!",Neutral
Sat Jan 29 16:41:33 +0000 2022,TriviaXrp,301,536,5510,False,Airdrop details: 1st airdrop will be on February 8 for all trustlines. Follow,Positive
