ref,date,size,price,direction,parent,pnl $,pair,pnl %,exit_price,exit_date,duration,order_close
4054,2022-01-26 20:00:00,625.4506176246667,0.6388,long,4054,-20.696633152416535,XRPUSDT,-5.180143237319976,0.606955,2022-01-26 21:00:00,0 days 01:00:00,TRAILING STOP
4056,2022-02-12 23:00:00,477.9035748173478,0.8275,long,-1,-9.145879663066975,XRPUSDT,-2.312688821752261,0.81,2022-02-13 17:00:00,0 days 18:00:00,SIGNAL
4059,2022-04-15 00:00:00,542.0515830037539,0.7262,long,-1,25.313483695325516,XRPUSDT,6.430652712751312,0.7744,2022-04-15 16:00:00,0 days 16:00:00,SIGNAL
4062,2022-05-19 16:00:00,944.9999968648758,0.4219,long,-1,1.3739354954418657,XRPUSDT,0.34460772694951985,0.4242,2022-05-20 14:00:00,0 days 22:00:00,SIGNAL
4065,2022-05-25 21:00:00,978.3472566547154,0.4078,long,-1,-10.767102898387792,XRPUSDT,-2.6987248651299627,0.3976,2022-05-26 08:00:00,0 days 11:00:00,SIGNAL
4068,2022-06-15 19:00:00,1240.4462080444694,0.3199,long,4068,7.285984083266671,XRPUSDT,1.8360987808690294,0.32642000000000004,2022-06-16 07:00:00,0 days 12:00:00,TRAILING STOP
4070,2022-09-29 22:00:00,798.4652827365746,0.49879999999999997,long,4070,-20.690359393356697,XRPUSDT,-5.194999999999992,0.47386,2022-09-30 01:00:00,0 days 03:00:00,TRAILING STOP
4072,2022-10-07 19:00:00,762.2133921645192,0.5171,long,-1,-0.8644262080537728,XRPUSDT,-0.21931928060336278,0.517,2022-10-08 10:00:00,0 days 15:00:00,SIGNAL
4075,2022-10-13 17:00:00,817.5302605503035,0.4819,long,-1,10.319357466822263,XRPUSDT,2.6193401120564435,0.4955,2022-10-14 15:00:00,0 days 22:00:00,SIGNAL
4078,2022-10-17 16:00:00,828.8606995455673,0.4778,long,-1,-7.085101259715505,XRPUSDT,-1.7890330682293836,0.4702,2022-10-18 12:00:00,0 days 20:00:00,SIGNAL
4081,2022-11-22 00:00:00,1082.6173870934877,0.3645,long,-1,13.162570454021356,XRPUSDT,3.335555555555562,0.3774,2022-11-23 07:00:00,1 days 07:00:00,SIGNAL
