ref,date,size,price,direction,parent,pnl $,pair,pnl %,exit_price,exit_date,duration,order_close
5339,2022-02-12 23:00:00,482.90078501558867,0.8275,long,-1,1.082228949298443,XRPUSDT,0.27082779456193534,0.8314,2022-02-13 07:00:00,0 days 08:00:00,SIGNAL
5342,2022-02-18 07:00:00,499.70832291051,0.8002,long,-1,-10.584222045902962,XRPUSDT,-2.6469382654336493,0.7806,2022-02-18 15:00:00,0 days 08:00:00,SIGNAL
5345,2022-03-29 14:00:00,-454.62036977731816,0.8748,short,-1,2.708673625170258,XRPUSDT,0.681081390032012,0.8671,2022-03-30 12:00:00,0 days 22:00:00,SIGNAL
5348,2022-04-14 23:00:00,550.2875404348493,0.7237,long,-1,27.40503488745807,XRPUSDT,6.881484040348212,0.775,2022-04-15 15:00:00,0 days 16:00:00,SIGNAL
5351,2022-04-29 19:00:00,-665.2144084012951,0.6068,short,-1,-11.927493906957775,XRPUSDT,-2.9548945286750246,0.6235,2022-04-30 06:00:00,0 days 11:00:00,SIGNAL
5354,2022-05-19 14:00:00,977.4366994471995,0.4106,long,-1,12.477174955783394,XRPUSDT,3.10891378470531,0.4242,2022-05-20 14:00:00,1 days 00:00:00,SIGNAL
5357,2022-05-25 19:00:00,993.4279233508678,0.4065,long,-1,-9.64032391098912,XRPUSDT,-2.3872324723247145,0.3976,2022-05-26 08:00:00,0 days 13:00:00,SIGNAL
5360,2022-05-27 13:00:00,1015.1611826182709,0.3958,long,-1,-13.784670666536956,XRPUSDT,-3.4307225871652296,0.383,2022-05-27 20:00:00,0 days 07:00:00,SIGNAL
5363,2022-06-15 19:00:00,1247.7278282126272,0.3199,long,5363,7.328753990015977,XRPUSDT,1.8360987808690294,0.32642000000000004,2022-06-16 07:00:00,0 days 12:00:00,TRAILING STOP
5365,2022-06-27 19:00:00,-1132.6333580907863,0.3536,short,-1,-0.0073621168275517235,XRPUSDT,-0.0018382352941080618,0.3529,2022-06-28 09:00:00,0 days 14:00:00,SIGNAL
5368,2022-09-29 22:00:00,803.1494542989135,0.4988,long,5368,-20.8117387384333,XRPUSDT,-5.195000000000004,0.47386,2022-09-30 01:00:00,0 days 03:00:00,TRAILING STOP
5370,2022-10-07 19:00:00,766.684893146721,0.5171,long,-1,1.121890004141556,XRPUSDT,0.2829820150841127,0.5196,2022-10-08 08:00:00,0 days 13:00:00,SIGNAL
5373,2022-10-13 17:00:00,823.1519238289083,0.4819,long,-1,16.640016140201375,XRPUSDT,4.1948537040879845,0.5031,2022-10-14 14:00:00,0 days 21:00:00,SIGNAL
5376,2022-10-14 16:00:00,-814.667190718211,0.491,short,-1,3.9297915945864834,XRPUSDT,0.9824439918533548,0.4852,2022-10-15 17:00:00,1 days 01:00:00,SIGNAL
5379,2022-10-17 16:00:00,838.8170024872608,0.47779999999999995,long,-1,-7.170207737261054,XRPUSDT,-1.789033068229372,0.4702,2022-10-18 12:00:00,0 days 20:00:00,SIGNAL
5382,2022-10-21 18:00:00,888.2432269793136,0.4497,long,-1,10.559257833684715,XRPUSDT,2.6434956637758584,0.4625,2022-10-22 17:00:00,0 days 23:00:00,SIGNAL
5385,2022-10-27 00:00:00,856.1823345592055,0.4689,long,-1,1.2498549719895398,XRPUSDT,0.311324376199619,0.4713,2022-10-27 12:00:00,0 days 12:00:00,SIGNAL
5388,2022-11-21 21:00:00,1123.674455798423,0.3574,long,-1,-1.4767329698102754,XRPUSDT,-0.3677112479015079,0.3568,2022-11-22 08:00:00,0 days 11:00:00,SIGNAL
5391,2022-11-28 17:00:00,1041.293298068785,0.3855,long,-1,3.462196086748895,XRPUSDT,0.8624902723735388,0.3896,2022-11-29 18:00:00,1 days 01:00:00,SIGNAL
5394,2022-12-16 15:00:00,-1103.1833028131591,0.3644,short,-1,12.668295139524618,XRPUSDT,3.1513172338089976,0.3522,2022-12-17 23:00:00,1 days 08:00:00,SIGNAL
