ref,date,size,price,direction,parent,pnl $,pair,pnl %,exit_price,exit_date,duration,order_close
1307,2022-01-10 15:00:00,-0.009797352403018926,40786.57,short,-1,-11.761927010304131,BTCUSDT,-2.9434222343286085,41904.4,2022-01-10 17:00:00,0 days 02:00:00,SIGNAL
1310,2022-01-10 19:00:00,0.00954823637767057,41604.58,long,1310,2.4697718951169274,BTCUSDT,0.6217167100352717,41946.793999999994,2022-01-14 10:00:00,3 days 15:00:00,TRAILING STOP
1312,2022-01-19 18:00:00,0.009436163573584849,42151.0,long,1312,-10.295220162018454,BTCUSDT,-2.5884053889587455,41143.2555,2022-01-20 22:00:00,1 days 04:00:00,TRAILING STOP
1314,2022-03-06 22:00:00,0.010140587458786057,39020.12,long,-1,-11.832953141959123,BTCUSDT,-2.990483627420936,37930.18,2022-03-07 05:00:00,0 days 07:00:00,SIGNAL
1317,2022-03-14 11:00:00,0.010059257762662801,39100.56,long,-1,13.695958185898064,BTCUSDT,3.482118184496605,40541.73,2022-03-18 02:00:00,3 days 15:00:00,SIGNAL
1320,2022-03-19 22:00:00,0.009404065105519013,42115.73,long,-1,-9.11334520370882,BTCUSDT,-2.3010065835259303,41229.99,2022-03-20 19:00:00,0 days 21:00:00,SIGNAL
1323,2022-03-28 20:00:00,0.008220783986871188,47956.28,long,-1,-5.9225603236709645,BTCUSDT,-1.5022795971664222,47331.13,2022-03-29 23:00:00,1 days 03:00:00,SIGNAL
1326,2022-04-12 23:00:00,-0.00986881803531772,39827.97,short,-1,-12.798000469758302,BTCUSDT,-3.256033084287254,41043.91,2022-04-13 18:00:00,0 days 19:00:00,SIGNAL
1329,2022-04-21 11:00:00,0.009241649204634248,42254.13,long,1329,-16.437127778160445,BTCUSDT,-4.209274880348972,40558.35,2022-04-21 20:00:00,0 days 09:00:00,TRAILING STOP
1331,2022-05-08 05:00:00,-0.011255947330681871,34400.81,short,1331,31.006798233653566,BTCUSDT,8.007670646417909,31580.125500000002,2022-05-10 05:00:00,2 days 00:00:00,TRAILING STOP
1333,2022-05-14 23:00:00,0.013009840825674466,30239.330000000005,long,-1,-8.91269640829731,BTCUSDT,-2.265504692068259,29614.11,2022-05-15 05:00:00,0 days 06:00:00,SIGNAL
1336,2022-06-13 14:00:00,-0.016557969936161956,23651.94,short,1336,28.291614884694425,BTCUSDT,7.22410216667216,21897.75,2022-06-14 03:00:00,0 days 13:00:00,TRAILING STOP
1338,2022-06-18 10:00:00,-0.02071985184868502,19173.91,short,1338,9.046010499915162,BTCUSDT,2.276982837616319,18699.45,2022-06-18 21:00:00,0 days 11:00:00,TRAILING STOP
1340,2022-06-18 22:00:00,-0.02155169083795501,18517.71,short,1340,-11.901362947157864,BTCUSDT,-2.9821403078458553,19032.384000000002,2022-06-19 09:00:00,0 days 11:00:00,TRAILING STOP
1342,2022-07-13 14:00:00,-0.02056204303606891,19294.0,short,-1,-8.532919278520891,BTCUSDT,-2.150844925883697,19670.02,2022-07-13 21:00:00,0 days 07:00:00,SIGNAL
1345,2022-07-23 19:00:00,-0.01789296271666505,22076.02,short,-1,-13.296803109383346,BTCUSDT,-3.366233225010662,22774.3,2022-07-24 15:00:00,0 days 20:00:00,SIGNAL
1348,2022-07-27 22:00:00,0.017300973058915366,22675.53,long,-1,17.62906109957651,BTCUSDT,4.493670313328955,23740.91,2022-07-30 05:00:00,2 days 07:00:00,SIGNAL
1351,2022-08-26 16:00:00,-0.01904958687442513,20780.86,short,-1,10.737736067805038,BTCUSDT,2.712461900036866,20176.23,2022-08-29 19:00:00,3 days 03:00:00,SIGNAL
1354,2022-10-25 19:00:00,0.019632056674926648,20273.8,long,-1,-1.2245642591410273,BTCUSDT,-0.3076667916226783,20251.95,2022-10-28 05:00:00,2 days 10:00:00,SIGNAL
1357,2022-11-08 19:00:00,-0.021384990112232587,18600.51,short,1357,43.34062379096446,BTCUSDT,10.895853412083856,16538.6865,2022-11-10 03:00:00,1 days 08:00:00,TRAILING STOP
1359,2022-11-20 09:00:00,-0.024460716162838056,16615.67,short,1359,3.68442800262282,BTCUSDT,0.9065318100323313,16431.996,2022-11-23 02:00:00,2 days 17:00:00,TRAILING STOP
1361,2022-12-16 17:00:00,-0.02421932723973626,16810.64,short,-1,0.7300291337775886,BTCUSDT,0.1793056064492531,16746.94,2022-12-18 22:00:00,2 days 05:00:00,SIGNAL
1364,2022-12-25 23:00:00,0.0242133701947556,16821.65,long,-1,-0.48346812054501487,BTCUSDT,-0.11869816575663689,16835.34,2022-12-26 18:00:00,0 days 19:00:00,SIGNAL
