ref,date,size,price,direction,parent,pnl $,pair,pnl %,exit_price,exit_date,duration,order_close
1328,2022-01-24 21:00:00,363.9347901642983,1.098,long,1328,-20.759240759240736,ADAUSDT,-5.194999999999995,1.0431000000000001,2022-01-25 00:00:00,0 days 03:00:00,TRAILING STOP
1330,2022-01-26 20:00:00,352.76779585102844,1.121,long,1330,-20.543767720790676,ADAUSDT,-5.194999999999994,1.06495,2022-01-26 21:00:00,0 days 01:00:00,TRAILING STOP
1332,2022-03-23 16:00:00,365.06347971430966,1.071,long,1332,15.720637361067393,ADAUSDT,4.020798319327732,1.11625,2022-03-25 00:00:00,1 days 08:00:00,TRAILING STOP
1334,2022-04-18 19:00:00,424.18175993491144,0.929,long,-1,3.4494460717906565,ADAUSDT,0.8753498385360492,0.939,2022-04-20 23:00:00,2 days 04:00:00,SIGNAL
1337,2022-05-09 18:00:00,-614.9676886925171,0.6424,short,1337,-9.962292066512184,ADAUSDT,-2.52174657534247,0.6573,2022-05-09 20:00:00,0 days 02:00:00,TRAILING STOP
1339,2022-05-10 00:00:00,-653.2443409344647,0.6025,short,1339,-20.07386870852389,ADAUSDT,-5.10033112033194,0.631995,2022-05-10 01:00:00,0 days 01:00:00,TRAILING STOP
1341,2022-05-16 15:00:00,-702.232056711888,0.554,short,1341,-17.223220804578208,ADAUSDT,-4.427147111913367,0.5773950000000001,2022-05-17 05:00:00,0 days 14:00:00,TRAILING STOP
1343,2022-05-30 10:00:00,742.5135762690484,0.5195,long,1343,85.94527447835586,ADAUSDT,22.280865255052944,0.636405,2022-05-31 12:00:00,1 days 02:00:00,TRAILING STOP
1345,2022-08-14 04:00:00,682.3161488305318,0.5906,long,-1,-16.142713070336878,ADAUSDT,-4.0058753809685,0.5681,2022-08-14 20:00:00,0 days 16:00:00,SIGNAL
1348,2022-08-25 21:00:00,845.1731202953234,0.473,long,1348,-13.709308084105531,ADAUSDT,-3.429325581395343,0.45771,2022-08-26 15:00:00,0 days 18:00:00,TRAILING STOP
1350,2022-09-22 20:00:00,859.1845153535318,0.4621,long,1350,-8.068365507943303,ADAUSDT,-2.0321845920796386,0.453625,2022-09-23 08:00:00,0 days 12:00:00,TRAILING STOP
