ref,date,size,price,direction,parent,pnl $,pair,pnl %,exit_price,exit_date,duration,order_close
11072,2022-01-14 07:00:00,-1.8263272376617898,218.8,short,11072,-20.799200799200793,XMRUSDT,-5.204999999999998,229.74,2022-01-14 20:00:00,0 days 13:00:00,TRAILING STOP
11074,2022-01-22 01:00:00,-2.2792202600866567,173.5,short,11074,40.26469371858959,XMRUSDT,10.182129682997122,155.505,2022-01-22 13:00:00,0 days 12:00:00,TRAILING STOP
11076,2022-01-22 14:00:00,-2.6458335014747734,152.4,short,11076,-2.633900792383116,XMRUSDT,-0.6532086614173214,153.09,2022-01-22 20:00:00,0 days 06:00:00,TRAILING STOP
11078,2022-03-09 06:00:00,1.9850411579819256,203.0,long,-1,-15.083930751273034,XMRUSDT,-3.743251231527088,195.8,2022-03-09 10:00:00,0 days 04:00:00,SIGNAL
11081,2022-04-10 18:00:00,1.6452060168344476,243.2,long,-1,-10.004168747166945,XMRUSDT,-2.50032894736843,237.59999999999997,2022-04-11 02:00:00,0 days 08:00:00,SIGNAL
11084,2022-04-12 14:00:00,1.6699569776665355,238.4,long,-1,-13.975702950393478,XMRUSDT,-3.5104446308724855,230.5,2022-04-12 19:00:00,0 days 05:00:00,SIGNAL
11087,2022-04-20 05:00:00,-1.5618909072573066,253.0,short,-1,-11.578141106407653,XMRUSDT,-2.9299999999999913,259.9,2022-04-20 07:00:00,0 days 02:00:00,SIGNAL
11090,2022-05-24 00:00:00,-2.1200490266040117,185.4,short,11090,-17.339032968983535,XMRUSDT,-4.411326860841415,193.2,2022-05-24 11:00:00,0 days 11:00:00,TRAILING STOP
11092,2022-09-01 16:00:00,-2.590690235383754,150.2,short,-1,-10.892038956623932,XMRUSDT,-2.7991344873502038,154.1,2022-09-01 22:00:00,0 days 06:00:00,SIGNAL
11095,2022-09-15 15:00:00,-2.6520856905370773,145.9,short,-1,1.0844378388606561,XMRUSDT,0.28026045236464503,145.2,2022-09-16 03:00:00,0 days 12:00:00,SIGNAL
