ref,date,size,price,direction,parent,pnl $,pair,pnl %,exit_price,exit_date,duration,order_close
20156,2022-01-11 19:00:00,2.806773896188801,142.38,long,-1,-7.164262302282902,SOLUSDT,-1.792730720606814,140.11,2022-01-12 05:00:00,0 days 10:00:00,SIGNAL
20159,2022-02-01 06:00:00,3.790280614573845,105.04,long,-1,17.946865001588673,SOLUSDT,4.5077779893373835,109.99,2022-02-02 00:00:00,0 days 18:00:00,SIGNAL
20162,2022-02-15 09:00:00,3.9081202896311966,102.79,long,-1,-0.8815156125292527,SOLUSDT,-0.21943768849110834,102.77,2022-02-15 16:00:00,0 days 07:00:00,SIGNAL
20165,2022-02-28 20:00:00,4.1735464433441765,96.2,long,-1,-0.3443593170403303,SOLUSDT,-0.08576923076923135,96.31,2022-03-01 06:00:00,0 days 10:00:00,SIGNAL
20168,2022-03-02 11:00:00,3.8050590951310554,105.52,long,20168,-20.85843596556198,SOLUSDT,-5.194999999999997,100.244,2022-03-02 13:00:00,0 days 02:00:00,TRAILING STOP
20170,2022-03-23 16:00:00,4.153259287601024,95.68,long,-1,31.65124144413561,SOLUSDT,7.96490384615384,103.5,2022-03-25 04:00:00,1 days 12:00:00,SIGNAL
20173,2022-03-28 14:00:00,3.607383739135412,111.9,long,20173,-17.957704156149333,SOLUSDT,-4.448651474530818,107.14100000000002,2022-03-28 23:00:00,0 days 09:00:00,TRAILING STOP
20175,2022-04-01 20:00:00,2.910930497168955,137.42,long,-1,-8.419051402521925,SOLUSDT,-2.10465725513024,134.8,2022-04-02 04:00:00,0 days 08:00:00,SIGNAL
20178,2022-04-18 18:00:00,3.9421745436230866,101.07,long,20178,14.282620578957326,SOLUSDT,3.584674977738209,104.899,2022-04-20 15:00:00,1 days 21:00:00,TRAILING STOP
20180,2022-04-25 19:00:00,4.022151461747145,99.76,long,-1,0.8047520644663346,SOLUSDT,0.2005613472333515,100.16,2022-04-26 11:00:00,0 days 16:00:00,SIGNAL
20183,2022-04-27 12:00:00,4.045662360886569,99.22,long,-1,-7.956482795284772,SOLUSDT,-1.9821306188268453,97.45,2022-04-27 19:00:00,0 days 07:00:00,SIGNAL
20186,2022-05-10 12:00:00,5.587212305686984,71.56,long,20186,-17.05891572220962,SOLUSDT,-4.266639183901616,68.647,2022-05-10 15:00:00,0 days 03:00:00,TRAILING STOP
20188,2022-06-06 06:00:00,9.531438755116334,41.59,long,-1,11.014339996637283,SOLUSDT,2.778504448184647,42.83,2022-06-06 16:00:00,0 days 10:00:00,SIGNAL
20191,2022-06-16 05:00:00,11.82477618384111,33.72,long,-1,-13.909838968337805,SOLUSDT,-3.488523131672596,32.61,2022-06-16 08:00:00,0 days 03:00:00,SIGNAL
20194,2022-06-21 06:00:00,10.646423253152808,37.18,long,20194,-5.003435657744715,SOLUSDT,-1.2640236686390556,36.784,2022-06-21 19:00:00,0 days 13:00:00,TRAILING STOP
20196,2022-06-24 04:00:00,10.142161035399859,38.93,long,-1,19.677009468000005,SOLUSDT,4.983611610583106,40.95,2022-06-25 03:00:00,0 days 23:00:00,SIGNAL
20199,2022-07-14 16:00:00,11.341461875178993,35.17,long,-1,17.78363904951817,SOLUSDT,4.4584020471993195,36.81,2022-07-15 07:00:00,0 days 15:00:00,SIGNAL
20202,2022-07-15 09:00:00,10.626491657859527,37.85,long,-1,-8.447848338165155,SOLUSDT,-2.10034346103038,37.13,2022-07-15 18:00:00,0 days 09:00:00,SIGNAL
20205,2022-07-19 12:00:00,8.797345023731102,45.54,long,-1,-1.855887906206291,SOLUSDT,-0.463241106719362,45.42,2022-07-19 20:00:00,0 days 08:00:00,SIGNAL
20208,2022-07-28 06:00:00,10.026560260677545,39.92,long,-1,-6.710275454458482,SOLUSDT,-1.6764779559118321,39.33,2022-07-28 08:00:00,0 days 02:00:00,SIGNAL
20211,2022-08-15 06:00:00,8.692952086069567,45.89,long,-1,-18.079514819086643,SOLUSDT,-4.532120287644371,43.9,2022-08-15 07:00:00,0 days 01:00:00,SIGNAL
20214,2022-09-04 14:00:00,12.525579231831063,31.570000000000004,long,-1,0.5855708290880061,SOLUSDT,0.14808362369335548,31.679999999999996,2022-09-05 09:00:00,0 days 19:00:00,SIGNAL
20217,2022-09-06 11:00:00,11.971670533612997,33.03,long,-1,-1.747624464496805,SOLUSDT,-0.44196185286103035,32.95,2022-09-06 15:00:00,0 days 04:00:00,SIGNAL
20220,2022-09-06 16:00:00,11.692071678249633,33.79,long,20220,-20.524151549318493,SOLUSDT,-5.195000000000008,32.1005,2022-09-06 17:00:00,0 days 01:00:00,TRAILING STOP
20222,2022-09-09 13:00:00,11.08832593385626,35.25,long,-1,-3.9941258846343537,SOLUSDT,-1.0218723404255294,34.96,2022-09-09 16:00:00,0 days 03:00:00,SIGNAL
20225,2022-09-12 10:00:00,10.424160974565712,37.43,long,-1,-3.3837868939537756,SOLUSDT,-0.8672455249799627,37.18,2022-09-13 02:00:00,0 days 16:00:00,SIGNAL
20228,2022-09-13 05:00:00,10.191006383581929,38.21,long,-1,1.7664071364662557,SOLUSDT,0.453624705574457,38.46,2022-09-13 12:00:00,0 days 07:00:00,SIGNAL
20231,2022-09-29 18:00:00,11.51028026215813,33.88,long,-1,0.024977308168886214,SOLUSDT,0.006404958677686738,33.95,2022-09-30 12:00:00,0 days 18:00:00,SIGNAL
20234,2022-12-09 15:00:00,28.29159527942369,13.78,long,-1,-4.453945844839643,SOLUSDT,-1.142452830188672,13.65,2022-12-09 18:00:00,0 days 03:00:00,SIGNAL
