ref,date,size,price,direction,parent,pnl $,pair,pnl %,exit_price,exit_date,duration,order_close
11984,2022-01-06 06:00:00,-0.11559233770528021,3456.97,short,11984,33.59949632719509,ETHUSDT,8.408298278550298,3159.6809999999996,2022-01-09 16:00:00,3 days 10:00:00,TRAILING STOP
11986,2022-01-10 16:00:00,-0.13515583671397657,3006.27,short,11986,-21.14727192782274,ETHUSDT,-5.204650380704339,3156.5730000000003,2022-01-11 15:00:00,0 days 23:00:00,TRAILING STOP
11988,2022-01-15 17:00:00,0.11971903665912914,3358.6,long,11988,-19.464839644069013,ETHUSDT,-4.840935910796163,3202.5735,2022-01-17 17:00:00,2 days 00:00:00,TRAILING STOP
11990,2022-01-21 06:00:00,-0.13926947316500674,2859.21,short,11990,48.10114543523117,ETHUSDT,12.079624424229067,2508.4605,2022-01-22 13:00:00,1 days 07:00:00,TRAILING STOP
11992,2022-01-24 11:00:00,-0.18397577251346175,2216.65,short,11992,-14.849237170794257,ETHUSDT,-3.6412155053797433,2292.8535,2022-01-24 16:00:00,0 days 05:00:00,TRAILING STOP
11994,2022-01-24 17:00:00,-0.17914676065047072,2259.83,short,11994,-21.073868637513097,ETHUSDT,-5.2054651013572,2372.8320000000003,2022-01-24 18:00:00,0 days 01:00:00,TRAILING STOP
11996,2022-02-03 03:00:00,-0.1490786422603424,2687.39,short,-1,6.270636788726282,ETHUSDT,1.565184435455958,2640.0,2022-02-03 16:00:00,0 days 13:00:00,SIGNAL
11999,2022-02-07 06:00:00,0.12992122552202617,3093.3,long,11999,-9.502124285157686,ETHUSDT,-2.364386965376783,3026.282,2022-02-08 17:00:00,1 days 11:00:00,TRAILING STOP
12001,2022-02-20 09:00:00,-0.15345861106802383,2606.48,short,12001,-19.482196709489514,ETHUSDT,-4.870709903778285,2728.0995000000003,2022-02-21 01:00:00,0 days 16:00:00,TRAILING STOP
12003,2022-02-22 06:00:00,-0.15818966012551514,2503.92,short,12003,-20.616705909326015,ETHUSDT,-5.2049999999999965,2629.116,2022-02-22 14:00:00,0 days 08:00:00,TRAILING STOP
12005,2022-02-27 14:00:00,0.1410276359174125,2779.42,long,12005,-16.434832047722058,ETHUSDT,-4.192826255117985,2668.3315,2022-02-27 19:00:00,0 days 05:00:00,TRAILING STOP
12007,2022-03-01 14:00:00,0.1287159738173752,3019.63,long,-1,-16.80189330450048,ETHUSDT,-4.322868695833591,2895.01,2022-03-03 04:00:00,1 days 14:00:00,SIGNAL
12010,2022-03-03 16:00:00,-0.13625683431948238,2827.99,short,-1,24.051512729306065,ETHUSDT,6.241748025983111,2646.0,2022-03-06 17:00:00,3 days 01:00:00,SIGNAL
12013,2022-03-07 06:00:00,-0.154217655349952,2529.8,short,12013,-18.86093090288157,ETHUSDT,-4.834402877697833,2646.924,2022-03-07 14:00:00,0 days 08:00:00,TRAILING STOP
12015,2022-03-13 17:00:00,0.14959342992380203,2582.8,long,-1,42.65414462514164,ETHUSDT,11.039716973826842,2873.39,2022-03-20 14:00:00,6 days 21:00:00,SIGNAL
12018,2022-03-22 06:00:00,0.13107895844173384,3012.65,long,-1,12.257856663416229,ETHUSDT,3.1040797968565834,3112.29,2022-03-26 14:00:00,4 days 08:00:00,SIGNAL
12021,2022-03-28 06:00:00,0.11954259071392229,3323.87,long,12021,-4.58857916629473,ETHUSDT,-1.1548126581364533,3292.1014999999998,2022-03-31 16:00:00,3 days 10:00:00,TRAILING STOP
12023,2022-04-03 23:00:00,0.11184321438861358,3544.47,long,-1,-4.7313806700994485,ETHUSDT,-1.1935124292207298,3509.22,2022-04-05 10:00:00,1 days 11:00:00,SIGNAL
12026,2022-04-06 06:00:00,-0.11740523428249772,3368.5,short,-1,8.877628489684266,ETHUSDT,2.244775716194138,3286.2300000000005,2022-04-08 08:00:00,2 days 02:00:00,SIGNAL
12029,2022-04-11 07:00:00,-0.12502264628946624,3177.58,short,12029,7.36921896689321,ETHUSDT,1.8549673965722397,3112.3469999999998,2022-04-13 15:00:00,2 days 08:00:00,TRAILING STOP
12031,2022-04-18 06:00:00,-0.13678919657651517,2914.9,short,12031,-17.478598800994376,ETHUSDT,-4.383602387731983,3036.7259999999997,2022-04-18 21:00:00,0 days 15:00:00,TRAILING STOP
12033,2022-04-19 03:00:00,0.1300100991004095,3040.04,long,12033,-5.458427142089929,ETHUSDT,-1.3810554959803063,3004.0995000000003,2022-04-21 20:00:00,2 days 17:00:00,TRAILING STOP
12035,2022-04-25 06:00:00,-0.1382747950262533,2850.44,short,12035,-14.44024591608166,ETHUSDT,-3.663697955403363,2949.0719999999997,2022-04-25 18:00:00,0 days 12:00:00,TRAILING STOP
12037,2022-04-27 20:00:00,-0.13715483079610627,2852.67,short,-1,-17.054361078834724,ETHUSDT,-4.358858893597927,2971.19,2022-04-28 18:00:00,0 days 22:00:00,SIGNAL
12040,2022-05-06 12:00:00,-0.14493482084140016,2676.04,short,12040,47.98016263131321,ETHUSDT,12.370759872797118,2339.9775,2022-05-10 01:00:00,3 days 13:00:00,TRAILING STOP
12042,2022-05-11 23:00:00,-0.19073383981830802,2083.73,short,12042,-20.686638741521545,ETHUSDT,-5.20499999999999,2187.9165,2022-05-12 00:00:00,0 days 01:00:00,TRAILING STOP
12044,2022-05-27 06:00:00,-0.22651099397063534,1736.3599999999997,short,12044,-18.30740984886424,ETHUSDT,-4.654765918357959,1813.6335,2022-05-29 12:00:00,2 days 06:00:00,TRAILING STOP
12046,2022-05-30 06:00:00,0.20518417772693406,1899.01,long,-1,7.717085671924195,ETHUSDT,1.9805335411609233,1940.46,2022-06-01 03:00:00,1 days 21:00:00,SIGNAL
12049,2022-06-06 06:00:00,0.20914818866886095,1870.4,long,12049,-12.17823022052288,ETHUSDT,-3.113117969418308,1815.8585,2022-06-07 00:00:00,0 days 18:00:00,TRAILING STOP
12051,2022-06-10 16:00:00,-0.22509146417293588,1727.09,short,12051,49.80797549753695,ETHUSDT,12.812234944328315,1502.5815,2022-06-12 14:00:00,1 days 22:00:00,TRAILING STOP
12053,2022-06-13 14:00:00,-0.3222344350928854,1237.33,short,12053,24.905184987520453,ETHUSDT,6.246435793199872,1157.646,2022-06-14 03:00:00,0 days 13:00:00,TRAILING STOP
12055,2022-06-18 10:00:00,-0.4055812926151353,995.3199999999999,short,12055,17.810176725893257,ETHUSDT,4.411919533416385,949.4625,2022-06-18 21:00:00,0 days 11:00:00,TRAILING STOP
12057,2022-06-26 15:00:00,-0.33115538725768195,1229.75,short,-1,0.756769537176748,ETHUSDT,0.18582964017076714,1225.01,2022-06-28 09:00:00,1 days 18:00:00,SIGNAL
12060,2022-07-11 06:00:00,-0.35516882736324584,1147.03,short,12060,19.279793188588474,ETHUSDT,4.7325232121217375,1090.509,2022-07-13 12:00:00,2 days 06:00:00,TRAILING STOP
12062,2022-07-18 06:00:00,0.28686772063444693,1433.56,long,12062,18.787670424000957,ETHUSDT,4.568518373838564,1501.988,2022-07-19 04:00:00,0 days 22:00:00,TRAILING STOP
12064,2022-07-24 22:00:00,0.2558561890101232,1622.0,long,12064,-21.559184468941087,ETHUSDT,-5.194999999999995,1540.9,2022-07-25 01:00:00,0 days 03:00:00,TRAILING STOP
12066,2022-07-25 06:00:00,-0.26877521037820173,1528.0,short,12066,24.38239448303682,ETHUSDT,5.936955431937179,1434.321,2022-07-26 23:00:00,1 days 17:00:00,TRAILING STOP
12068,2022-07-28 06:00:00,0.2517204759246916,1650.89,long,12068,3.643635135834447,ETHUSDT,0.8767952740642907,1668.6845,2022-07-29 11:00:00,1 days 05:00:00,TRAILING STOP
12070,2022-08-11 06:00:00,0.22001639220515565,1892.09,long,12070,4.403517531749105,ETHUSDT,1.057798386968907,1915.9125,2022-08-14 18:00:00,3 days 12:00:00,TRAILING STOP
12072,2022-08-17 11:00:00,-0.22198901641627472,1879.24,short,12072,59.11118834064869,ETHUSDT,14.169546651837983,1609.4714999999999,2022-08-21 08:00:00,3 days 21:00:00,TRAILING STOP
12074,2022-08-22 05:00:00,-0.26689545601381753,1607.3,short,-1,3.8253938883641183,ETHUSDT,0.8917395632427034,1589.77,2022-08-22 16:00:00,0 days 11:00:00,SIGNAL
12077,2022-08-29 05:00:00,-0.2964456361589742,1449.66,short,-1,-8.646002988132734,ETHUSDT,-2.0118896844777403,1475.9,2022-08-29 13:00:00,0 days 08:00:00,SIGNAL
12080,2022-09-06 04:00:00,0.26092607066028384,1640.37,long,12080,-14.935206719205073,ETHUSDT,-3.4894095539421013,1586.3574999999998,2022-09-06 17:00:00,0 days 13:00:00,TRAILING STOP
12082,2022-09-18 20:00:00,-0.30782155774501513,1380.78,short,12082,6.234905181991634,ETHUSDT,1.4669196758353837,1357.7865000000002,2022-09-19 14:00:00,0 days 18:00:00,TRAILING STOP
12084,2022-09-27 05:00:00,0.3088065037229948,1380.4,long,12084,-18.727835065454776,ETHUSDT,-4.393353882932499,1322.4569999999999,2022-09-27 16:00:00,0 days 11:00:00,TRAILING STOP
12086,2022-10-04 09:00:00,0.31349019595381983,1347.85,long,-1,-5.646074420500776,ETHUSDT,-1.3362295507660298,1332.52,2022-10-05 13:00:00,1 days 04:00:00,SIGNAL
12089,2022-10-10 05:00:00,0.3181314725654164,1324.64,long,-1,-6.512609352734614,ETHUSDT,-1.5454342311873523,1306.8,2022-10-10 09:00:00,0 days 04:00:00,SIGNAL
12092,2022-11-07 11:00:00,-0.2661373504435467,1578.53,short,12092,15.72835373452419,ETHUSDT,3.7439030933843416,1516.3365000000001,2022-11-08 16:00:00,1 days 05:00:00,TRAILING STOP
12094,2022-11-09 11:00:00,-0.35417899398155867,1195.02,short,12094,12.32564627937101,ETHUSDT,2.9121364914394645,1157.8665,2022-11-10 01:00:00,0 days 14:00:00,TRAILING STOP
12096,2022-11-17 16:00:00,-0.3569027900546003,1192.8,short,-1,-9.854371555639574,ETHUSDT,-2.31478873239437,1218.0,2022-11-18 13:00:00,0 days 21:00:00,SIGNAL
12099,2022-11-20 15:00:00,-0.3613781085908041,1172.59,short,12099,12.6600365903937,ETHUSDT,2.9876308428350744,1135.2495000000001,2022-11-22 13:00:00,1 days 22:00:00,TRAILING STOP
12101,2022-11-24 02:00:00,0.35445462441306774,1202.62,long,-1,-4.30502509626267,ETHUSDT,-1.0099191764647188,1192.87,2022-11-25 02:00:00,1 days 00:00:00,SIGNAL
12104,2022-12-03 23:00:00,-0.3425206524402101,1242.02,short,12104,-22.139380850396794,ETHUSDT,-5.204153757588446,1304.1105,2022-12-05 05:00:00,1 days 06:00:00,TRAILING STOP
12106,2022-12-05 07:00:00,0.3248910879231229,1295.8,long,-1,-14.93789767201431,ETHUSDT,-3.5482458712764364,1252.37,2022-12-06 11:00:00,1 days 04:00:00,SIGNAL
12109,2022-12-09 04:00:00,0.32555493689967124,1283.97,long,-1,-7.285304188983878,ETHUSDT,-1.7428841795368992,1264.14,2022-12-09 23:00:00,0 days 19:00:00,SIGNAL
