ref,date,size,price,direction,parent,pnl $,pair,pnl %,exit_price,exit_date,duration,order_close
21573,2022-01-04 19:00:00,-487.4364474266889,0.8199,short,-1,-5.434575183294414,XRPUSDT,-1.359836565434817,0.8294,2022-01-05 03:00:00,0 days 08:00:00,SIGNAL
21576,2022-01-06 06:00:00,-523.6722344191172,0.7611,short,-1,-1.426168963217013,XRPUSDT,-0.3578242018131624,0.7623,2022-01-06 16:00:00,0 days 10:00:00,SIGNAL
21579,2022-01-07 07:00:00,-534.6799430036904,0.7449,short,-1,-14.391017601932916,XRPUSDT,-3.6132635253054075,0.7703,2022-01-07 10:00:00,0 days 03:00:00,SIGNAL
21582,2022-01-07 16:00:00,-528.4072351736892,0.7482,short,-1,-7.931339759233593,XRPUSDT,-2.006134723336016,0.7617,2022-01-07 23:00:00,0 days 07:00:00,SIGNAL
21585,2022-01-21 20:00:00,-591.2456607933574,0.666,short,-1,15.132873563439922,XRPUSDT,3.843078078078083,0.6391,2022-01-22 04:00:00,0 days 08:00:00,SIGNAL
21588,2022-01-24 14:00:00,-707.5484330419089,0.5607,short,21588,-20.723768131518273,XRPUSDT,-5.223745318352051,0.5888399999999999,2022-01-24 17:00:00,0 days 03:00:00,TRAILING STOP
21590,2022-02-02 22:00:00,-652.7889413742511,0.6015,short,-1,-3.203039498640989,XRPUSDT,-0.8157439733998212,0.6052,2022-02-03 06:00:00,0 days 08:00:00,SIGNAL
21593,2022-02-07 06:00:00,526.4740535922855,0.7446,long,21593,56.33125223939475,XRPUSDT,14.369756244963735,0.853195,2022-02-08 08:00:00,1 days 02:00:00,TRAILING STOP
21595,2022-02-21 15:00:00,-516.8109390711807,0.7803,short,-1,40.06235709929539,XRPUSDT,9.934435473535814,0.7013,2022-02-22 12:00:00,0 days 21:00:00,SIGNAL
21598,2022-02-24 06:00:00,-649.1036027622292,0.6333,short,-1,-3.2912149074456236,XRPUSDT,-0.8006316121901194,0.6371,2022-02-24 14:00:00,0 days 08:00:00,SIGNAL
21601,2022-02-28 23:00:00,527.3753625919028,0.7787,long,-1,-7.196195035175291,XRPUSDT,-1.7523179658405035,0.7666,2022-03-01 10:00:00,0 days 11:00:00,SIGNAL
21604,2022-03-04 23:00:00,-573.7193719969522,0.7132,short,-1,-4.953263570072941,XRPUSDT,-1.2105440269209333,0.7204,2022-03-05 07:00:00,0 days 08:00:00,SIGNAL
21607,2022-03-07 20:00:00,-573.8605272842157,0.7113,short,-1,-10.581758578909968,XRPUSDT,-2.592380149022902,0.7283,2022-03-08 04:00:00,0 days 08:00:00,SIGNAL
21610,2022-03-16 20:00:00,516.6320045533829,0.7859,long,-1,-0.7088191102472527,XRPUSDT,-0.17457691818297774,0.7861,2022-03-17 10:00:00,0 days 14:00:00,SIGNAL
21613,2022-03-22 06:00:00,477.06091594677315,0.851,long,-1,-1.955758931015371,XRPUSDT,-0.4817391304347777,0.8486,2022-03-22 11:00:00,0 days 05:00:00,SIGNAL
21616,2022-03-28 22:00:00,456.68960850667946,0.888,long,-1,-5.282163349910021,XRPUSDT,-1.3025000000000158,0.8781999999999999,2022-03-29 02:00:00,0 days 04:00:00,SIGNAL
21619,2022-04-04 20:00:00,-492.13407356277173,0.8219,short,-1,-2.8780000621950803,XRPUSDT,-0.7115220829784624,0.8261,2022-04-05 00:00:00,0 days 04:00:00,SIGNAL
21622,2022-04-06 21:00:00,-519.164485956029,0.778,short,-1,-4.601510588374058,XRPUSDT,-1.1392416452442125,0.7853,2022-04-07 12:00:00,0 days 15:00:00,SIGNAL
21625,2022-04-09 00:00:00,-533.8330737036039,0.755,short,-1,-3.90541600060084,XRPUSDT,-0.9689801324503348,0.7608,2022-04-09 08:00:00,0 days 08:00:00,SIGNAL
21628,2022-04-11 20:00:00,-570.511041761174,0.705,short,-1,0.8517159342452646,XRPUSDT,0.21175886524822893,0.7021,2022-04-12 05:00:00,0 days 09:00:00,SIGNAL
21631,2022-04-13 07:00:00,564.5068146120411,0.7128,long,-1,-6.218607069766213,XRPUSDT,-1.5454545454545374,0.7032,2022-04-13 13:00:00,0 days 06:00:00,SIGNAL
21634,2022-04-25 06:00:00,-596.3990165335188,0.6726,short,-1,1.884203412934315,XRPUSDT,0.4697145405887524,0.6681,2022-04-25 16:00:00,0 days 10:00:00,SIGNAL
21637,2022-04-29 21:00:00,-656.283822717903,0.6117,short,-1,-5.467172385151488,XRPUSDT,-1.3618603890796135,0.6188,2022-04-30 03:00:00,0 days 06:00:00,SIGNAL
21640,2022-05-02 13:00:00,-658.4806785132671,0.6081,short,-1,-12.46760731890238,XRPUSDT,-3.1136161815490953,0.6258,2022-05-03 02:00:00,0 days 13:00:00,SIGNAL
21643,2022-05-19 16:00:00,943.1881255524311,0.4219,long,-1,5.140280965448221,XRPUSDT,1.2917515999051976,0.4282,2022-05-20 12:00:00,0 days 20:00:00,SIGNAL
21646,2022-05-27 19:00:00,-1052.3822192943717,0.3791,short,-1,-5.433028445329138,XRPUSDT,-1.361804273278822,0.3835,2022-05-28 03:00:00,0 days 08:00:00,SIGNAL
21649,2022-06-10 13:00:00,-1012.1408780605431,0.3931,short,-1,7.917370804540845,XRPUSDT,1.9899262274230607,0.38449999999999995,2022-06-11 02:00:00,0 days 13:00:00,SIGNAL
21652,2022-06-24 06:00:00,1092.8986906545524,0.3655,long,-1,4.987661754540211,XRPUSDT,1.2486183310533592,0.3708,2022-06-24 13:00:00,0 days 07:00:00,SIGNAL
21655,2022-06-28 03:00:00,-1167.836124961598,0.343,short,-1,-8.75036251711223,XRPUSDT,-2.1844897959183593,0.3498,2022-06-28 08:00:00,0 days 05:00:00,SIGNAL
21658,2022-06-29 00:00:00,-1181.3412831706332,0.3375,short,-1,4.6421987063473775,XRPUSDT,1.1643259259259402,0.3329,2022-06-29 20:00:00,0 days 20:00:00,SIGNAL
21661,2022-06-30 10:00:00,-1287.8833235550408,0.3103,short,-1,-11.886132769754179,XRPUSDT,-2.974282951981952,0.3189,2022-06-30 18:00:00,0 days 08:00:00,SIGNAL
21664,2022-07-08 06:00:00,1128.2457926636764,0.3521,long,-1,-4.063151573119713,XRPUSDT,-1.0228060210167602,0.3492,2022-07-08 09:00:00,0 days 03:00:00,SIGNAL
21667,2022-07-13 19:00:00,1245.1115738088965,0.3184,long,-1,-0.6685004039780102,XRPUSDT,-0.16862437185929993,0.3185,2022-07-14 08:00:00,0 days 13:00:00,SIGNAL
21670,2022-07-15 06:00:00,1160.1579583913096,0.3415,long,-1,-3.9216819467501853,XRPUSDT,-0.9898389458272433,0.3388,2022-07-15 08:00:00,0 days 02:00:00,SIGNAL
21673,2022-07-16 21:00:00,1121.7425007088991,0.3527,long,-1,-4.265201510445438,XRPUSDT,-1.0780550042529038,0.3496,2022-07-17 02:00:00,0 days 05:00:00,SIGNAL
21676,2022-07-21 05:00:00,-1106.149713105333,0.3569,short,-1,-10.31197008545315,XRPUSDT,-2.6120481927710832,0.3655,2022-07-21 20:00:00,0 days 15:00:00,SIGNAL
21679,2022-07-26 00:00:00,-1167.7985840350252,0.3362,short,-1,3.6568444860473077,XRPUSDT,0.931409875074368,0.3324,2022-07-26 11:00:00,0 days 11:00:00,SIGNAL
21682,2022-08-15 13:00:00,-1070.034064775642,0.3676,short,-1,-7.534644867117713,XRPUSDT,-1.9155331882481035,0.3739,2022-08-15 21:00:00,0 days 08:00:00,SIGNAL
21685,2022-08-17 08:00:00,-1038.2594029190575,0.3774,short,-1,-5.876236742700948,XRPUSDT,-1.4996555378908214,0.3823,2022-08-17 21:00:00,0 days 13:00:00,SIGNAL
21688,2022-08-19 13:00:00,-1151.0460382627798,0.3393,short,-1,-0.089781590984509,XRPUSDT,-0.022988505747129552,0.3387,2022-08-19 18:00:00,0 days 05:00:00,SIGNAL
21691,2022-08-26 16:00:00,-1147.9491243213936,0.3402,short,-1,5.768788734452279,XRPUSDT,1.4771604938271554,0.3345,2022-08-27 23:00:00,1 days 07:00:00,SIGNAL
21694,2022-08-29 05:00:00,-1214.8827663513766,0.3226,short,-1,-3.0944278941736068,XRPUSDT,-0.7895536267823969,0.3245,2022-08-29 13:00:00,0 days 08:00:00,SIGNAL
21697,2022-09-02 20:00:00,-1195.5422519461972,0.3272,short,-1,-3.654533555749152,XRPUSDT,-0.9342298288508599,0.3296,2022-09-03 15:00:00,0 days 19:00:00,SIGNAL
