ref,date,size,price,direction,parent,pnl $,pair,pnl %,exit_price,exit_date,duration,order_close
10835,2022-01-15 17:00:00,0.1189782646341927,3358.6,long,-1,-6.146680092967211,ETHUSDT,-1.5382066932650444,3313.61,2022-01-16 04:00:00,0 days 11:00:00,SIGNAL
10838,2022-02-07 06:00:00,0.1287855337955313,3093.3,long,-1,11.073127011248276,ETHUSDT,2.7795926680244323,3185.56,2022-02-08 06:00:00,1 days 00:00:00,SIGNAL
10841,2022-02-27 14:00:00,0.1441252868148669,2779.42,long,10841,-16.795820671767004,ETHUSDT,-4.192826255117985,2668.3315,2022-02-27 19:00:00,0 days 05:00:00,TRAILING STOP
10843,2022-03-01 14:00:00,0.1315432009010484,3019.63,long,-1,-9.27047551313317,ETHUSDT,-2.33388726433371,2955.13,2022-03-01 22:00:00,0 days 08:00:00,SIGNAL
10846,2022-03-22 06:00:00,0.13123926306932893,3012.65,long,-1,-1.5406938279434659,ETHUSDT,-0.38967619869550907,3006.93,2022-03-22 18:00:00,0 days 12:00:00,SIGNAL
10849,2022-03-28 06:00:00,0.11885844246103298,3323.87,long,-1,4.686129592650672,ETHUSDT,1.1861516846326825,3369.9900000000002,2022-03-29 04:00:00,0 days 22:00:00,SIGNAL
10852,2022-04-03 23:00:00,0.11172445949403872,3544.4699999999993,long,-1,-9.323685455926121,ETHUSDT,-2.3544422720462777,3468.0300000000007,2022-04-04 10:00:00,0 days 11:00:00,SIGNAL
10855,2022-04-19 03:00:00,0.1296507725155548,3040.04,long,-1,-0.9152177682645553,ETHUSDT,-0.2322041815239279,3039.06,2022-04-19 10:00:00,0 days 07:00:00,SIGNAL
10858,2022-05-30 06:00:00,0.20745513571676932,1899.0099999999998,long,-1,15.628170024270272,ETHUSDT,3.9669496211183986,1978.2200000000003,2022-05-31 06:00:00,1 days 00:00:00,SIGNAL
10861,2022-06-06 06:00:00,0.21229897976938647,1870.4,long,-1,-3.7188433516101815,ETHUSDT,-0.9365381736527049,1856.61,2022-06-06 18:00:00,0 days 12:00:00,SIGNAL
10864,2022-07-18 06:00:00,0.27646983623135635,1433.56,long,-1,14.019578042914937,ETHUSDT,3.5372952649348552,1487.19,2022-07-18 22:00:00,0 days 16:00:00,SIGNAL
10867,2022-07-24 22:00:00,0.24607890112224068,1622.0,long,10867,-20.73532183737323,ETHUSDT,-5.194999999999994,1540.9,2022-07-25 01:00:00,0 days 03:00:00,TRAILING STOP
10869,2022-07-28 06:00:00,0.23926309819203329,1650.89,long,-1,-7.946367735058113,ETHUSDT,-2.011753660146954,1620.95,2022-07-28 11:00:00,0 days 05:00:00,SIGNAL
10872,2022-08-11 06:00:00,0.20792318035246493,1892.09,long,-1,-1.1212403046732708,ETHUSDT,-0.2850059986575638,1890.48,2022-08-11 16:00:00,0 days 10:00:00,SIGNAL
10875,2022-08-15 06:00:00,0.19960065500908578,1969.8599999999997,long,-1,-14.740456476250596,ETHUSDT,-3.7489841917699525,1899.88,2022-08-15 08:00:00,0 days 02:00:00,SIGNAL
10878,2022-09-06 04:00:00,0.23789621924620918,1640.37,long,10878,-13.616995814823657,ETHUSDT,-3.4894095539421013,1586.3574999999998,2022-09-06 17:00:00,0 days 13:00:00,TRAILING STOP
10880,2022-09-27 05:00:00,0.2807278429181304,1380.4,long,10880,-17.024980617531458,ETHUSDT,-4.393353882932498,1322.4569999999999,2022-09-27 16:00:00,0 days 11:00:00,TRAILING STOP
10882,2022-11-24 03:00:00,0.320050265054941,1200.17,long,-1,-2.178239700445401,ETHUSDT,-0.5670804969296084,1195.76,2022-11-24 12:00:00,0 days 09:00:00,SIGNAL
10885,2022-11-29 08:00:00,0.31786022002375763,1207.08,long,-1,18.09147531997123,ETHUSDT,4.715217715478684,1266.47,2022-11-30 10:00:00,1 days 02:00:00,SIGNAL
10888,2022-12-05 03:00:00,0.29973098693641453,1292.15,long,-1,-2.8855851439836515,ETHUSDT,-0.7450566884649756,1285.1,2022-12-05 15:00:00,0 days 12:00:00,SIGNAL
10891,2022-12-09 04:00:00,0.30118915737128277,1283.97,long,-1,-1.6791084691038827,ETHUSDT,-0.4341947241757978,1280.96,2022-12-09 06:00:00,0 days 02:00:00,SIGNAL
10894,2022-12-20 05:00:00,0.3197627906434116,1208.34,long,-1,0.7126457386232813,ETHUSDT,0.18444063756890372,1212.99,2022-12-20 21:00:00,0 days 16:00:00,SIGNAL
