ref,date,size,price,direction,parent,pnl $,pair,pnl %,exit_price,exit_date,duration,order_close
4985,2022-02-05 08:00:00,0.009656851043231272,41379.99,long,-1,1.442131827470265,BTCUSDT,0.3608934898244338,41612.32,2022-02-06 08:00:00,1 days 00:00:00,SIGNAL
4988,2022-02-08 08:00:00,0.008915138509144273,44855.0,long,-1,-8.031630452611058,BTCUSDT,-2.0084672834689554,44043.0,2022-02-09 00:00:00,0 days 16:00:00,SIGNAL
4991,2022-03-01 08:00:00,0.00915743183399137,43492.96,long,4991,-12.623639745514126,BTCUSDT,-3.169508582538415,42200.14,2022-03-03 16:00:00,2 days 08:00:00,TRAILING STOP
4993,2022-04-02 12:00:00,0.00850316849412614,46542.84,long,-1,-7.008344039994085,BTCUSDT,-1.770849887974173,45810.99,2022-04-03 00:00:00,0 days 12:00:00,SIGNAL
4996,2022-04-19 16:00:00,0.009515093836266302,41445.88,long,-1,-3.184033661958191,BTCUSDT,-0.8073897091821864,41193.89,2022-04-20 20:00:00,1 days 04:00:00,SIGNAL
4999,2022-04-26 08:00:00,0.009701368049720082,40584.5,long,4999,-20.454022665340258,BTCUSDT,-5.194999999999997,38555.275,2022-04-26 12:00:00,0 days 04:00:00,TRAILING STOP
5001,2022-07-15 12:00:00,0.018759910032509403,20769.74,long,5001,13.694485220266511,BTCUSDT,3.5146647069245964,21542.038500000002,2022-07-18 16:00:00,3 days 04:00:00,TRAILING STOP
5003,2022-07-20 08:00:00,0.016781642957360662,23381.18,long,5003,-7.778739219798284,BTCUSDT,-1.9824776957364805,22963.9985,2022-07-20 20:00:00,0 days 12:00:00,TRAILING STOP
5005,2022-07-29 12:00:00,0.01647602000254094,23718.71,long,5005,-7.629820047883813,BTCUSDT,-1.9524095323902622,23302.644999999997,2022-07-31 20:00:00,2 days 08:00:00,TRAILING STOP
5007,2022-08-11 12:00:00,0.015851220184453667,24559.37,long,-1,-10.254160043762301,BTCUSDT,-2.634026687166639,23960.99,2022-08-12 08:00:00,0 days 20:00:00,SIGNAL
5010,2022-08-13 12:00:00,0.015847463762795777,24435.91,long,-1,-7.247409036494512,BTCUSDT,-1.8715200702572587,24027.05,2022-08-15 08:00:00,1 days 20:00:00,SIGNAL
5013,2022-09-09 08:00:00,0.018699285202155008,20631.76,long,5013,13.516117045555225,BTCUSDT,3.503407547392973,21396.603000000003,2022-09-13 12:00:00,4 days 04:00:00,TRAILING STOP
5015,2022-09-29 08:00:00,0.020067433207865117,19360.4,long,-1,-1.7906218813218007,BTCUSDT,-0.46089047746948053,19309.84,2022-10-01 08:00:00,2 days 00:00:00,SIGNAL
5018,2022-10-14 08:00:00,0.019760462507743916,19642.2,long,-1,-9.961034353926259,BTCUSDT,-2.5663577908788247,19176.93,2022-10-15 00:00:00,0 days 16:00:00,SIGNAL
5021,2022-10-26 12:00:00,0.018738124239540858,20606.86,long,-1,-1.5730831437462185,BTCUSDT,-0.4073931690708766,20564.08,2022-10-27 16:00:00,1 days 04:00:00,SIGNAL
5024,2022-12-14 08:00:00,0.02166894221436638,17805.54,long,-1,-8.935057658372436,BTCUSDT,-2.315818391354604,17428.43,2022-12-15 16:00:00,1 days 08:00:00,SIGNAL
