ref,date,size,price,direction,parent,pnl $,pair,pnl %,exit_price,exit_date,duration,order_close
10830,2022-01-22 00:00:00,-3.559280302844924,112.24,short,10830,50.99579319762804,SOLUSDT,12.765108250178184,97.7025,2022-01-22 16:00:00,0 days 16:00:00,TRAILING STOP
10832,2022-01-22 20:00:00,-4.524060159751108,90.57,short,10832,-21.37473203151271,SOLUSDT,-5.216604836038425,95.109,2022-01-23 00:00:00,0 days 04:00:00,TRAILING STOP
10834,2022-02-03 08:00:00,-4.081307302130469,99.4,short,10834,-10.005530957191612,SOLUSDT,-2.466348591549298,101.65050000000001,2022-02-03 20:00:00,0 days 12:00:00,TRAILING STOP
10836,2022-03-01 00:00:00,4.048149944375295,99.67,long,10836,-20.92232053541112,SOLUSDT,-5.185478077656255,94.69600000000001,2022-03-01 08:00:00,0 days 08:00:00,TRAILING STOP
10838,2022-03-02 16:00:00,3.930504947166048,101.61,long,-1,-8.298514400001135,SOLUSDT,-2.077856510186002,99.7,2022-03-03 12:00:00,0 days 20:00:00,SIGNAL
10841,2022-03-23 20:00:00,4.285820215507117,92.81,long,10841,25.867721498276037,SOLUSDT,6.503235103975856,99.0375,2022-03-25 16:00:00,1 days 20:00:00,TRAILING STOP
10843,2022-03-28 20:00:00,3.616893820440267,111.38,long,10843,-21.14844836431088,SOLUSDT,-5.249712695277425,105.75,2022-03-29 00:00:00,0 days 04:00:00,TRAILING STOP
10845,2022-03-29 12:00:00,3.515824391532752,113.37,long,10845,-18.904884840432704,SOLUSDT,-4.742951839110879,108.2145,2022-03-30 00:00:00,0 days 12:00:00,TRAILING STOP
10847,2022-04-20 16:00:00,3.7348370198984595,105.72,long,-1,6.747132469927296,SOLUSDT,1.7087968217933995,107.73999999999998,2022-04-21 16:00:00,1 days 00:00:00,SIGNAL
10850,2022-05-06 12:00:00,-4.87744734899957,81.24,short,10850,62.16753176604745,SOLUSDT,15.689211595273248,68.34450000000001,2022-05-09 20:00:00,3 days 08:00:00,TRAILING STOP
10852,2022-05-10 00:00:00,-6.573618620128324,62.16,short,10852,-21.26846974488457,SOLUSDT,-5.205000000000006,65.268,2022-05-10 04:00:00,0 days 04:00:00,TRAILING STOP
10854,2022-05-12 12:00:00,-9.200607256489286,43.94,short,10854,-21.139200224919108,SOLUSDT,-5.228920118343202,46.1475,2022-05-12 16:00:00,0 days 04:00:00,TRAILING STOP
10856,2022-06-07 12:00:00,-10.510719004311767,38.07,short,10856,-20.827446923320466,SOLUSDT,-5.205000000000004,39.9735,2022-06-07 16:00:00,0 days 04:00:00,TRAILING STOP
10858,2022-06-17 12:00:00,-12.539003940390797,31.58,short,10858,20.244422485823925,SOLUSDT,5.112463584547166,29.904000000000003,2022-06-18 08:00:00,0 days 20:00:00,TRAILING STOP
10860,2022-06-21 04:00:00,11.357938219620918,35.22,long,10860,8.645974916076517,SOLUSDT,2.1613500851788845,36.0525,2022-06-21 20:00:00,0 days 16:00:00,TRAILING STOP
10862,2022-07-15 20:00:00,10.34915125220887,38.82,long,10862,-20.871122981178402,SOLUSDT,-5.1950000000000065,36.879,2022-07-16 00:00:00,0 days 04:00:00,TRAILING STOP
10864,2022-08-03 08:00:00,-10.372658415576685,38.33,short,10864,-20.69424704744427,SOLUSDT,-5.204999999999997,40.2465,2022-08-03 12:00:00,0 days 04:00:00,TRAILING STOP
10866,2022-08-16 08:00:00,-9.084490472737482,43.31,short,10866,64.21397527227816,SOLUSDT,16.320775802355122,36.162,2022-08-21 08:00:00,5 days 00:00:00,TRAILING STOP
10868,2022-09-09 16:00:00,11.617936730443999,34.96,long,-1,-6.151232781300889,SOLUSDT,-1.5144736842105286,34.5,2022-09-10 16:00:00,1 days 00:00:00,SIGNAL
