ref,date,size,price,direction,parent,pnl $,pair,pnl %,exit_price,exit_date,duration,order_close
7192,2022-01-07 07:00:00,-2.913601163692305,137.18,short,-1,-8.790626070975998,SOLUSDT,-2.1993730864557377,139.92,2022-01-07 15:00:00,0 days 08:00:00,SIGNAL
7195,2022-04-27 09:00:00,4.007696491941672,99.26,long,-1,-8.042284627344284,SOLUSDT,-2.021670360668953,97.45,2022-04-27 19:00:00,0 days 10:00:00,SIGNAL
7198,2022-06-13 21:00:00,13.849604357904798,28.61,long,7198,-20.584521536308124,SOLUSDT,-5.194999999999996,27.1795,2022-06-13 22:00:00,0 days 01:00:00,TRAILING STOP
7200,2022-06-14 00:00:00,13.710642977759104,28.590000000000003,long,7200,-20.2336184808578,SOLUSDT,-5.161804826862546,27.17,2022-06-14 01:00:00,0 days 01:00:00,TRAILING STOP
7202,2022-11-08 20:00:00,-16.326533788336306,23.77,short,7202,-15.738052041202643,SOLUSDT,-4.055344972654614,24.6855,2022-11-08 23:00:00,0 days 03:00:00,TRAILING STOP
7204,2022-11-09 00:00:00,-15.789058334965377,24.38,short,7204,96.95939937205979,SOLUSDT,25.188365463494677,18.196499999999997,2022-11-09 10:00:00,0 days 10:00:00,TRAILING STOP
7206,2022-11-09 12:00:00,-20.165074791695798,20.05,short,7206,63.30979493675054,SOLUSDT,15.658735660847883,16.8735,2022-11-09 16:00:00,0 days 04:00:00,TRAILING STOP
7208,2022-11-09 17:00:00,-25.057635772306085,16.64,short,7208,40.71556351197954,SOLUSDT,9.764882812500007,14.9835,2022-11-09 19:00:00,0 days 02:00:00,TRAILING STOP
7210,2022-11-09 20:00:00,-30.71488706472865,13.85,short,7210,21.762587863851046,SOLUSDT,5.115779783393502,13.1145,2022-11-09 22:00:00,0 days 02:00:00,TRAILING STOP
7212,2022-11-09 23:00:00,-30.199873866329916,14.22,short,7212,-22.352466842037966,SOLUSDT,-5.205000000000003,14.931000000000001,2022-11-10 00:00:00,0 days 01:00:00,TRAILING STOP
