ref,date,size,price,direction,parent,pnl $,pair,pnl %,exit_price,exit_date,duration,order_close
4857,2022-01-26 19:00:00,0.15340394396707716,2604.89,long,4857,-20.759240759240726,ETHUSDT,-5.194999999999991,2474.6455,2022-01-26 20:00:00,0 days 01:00:00,TRAILING STOP
4859,2022-01-28 02:00:00,-0.165031883194783,2396.29,short,-1,-12.992372650421114,ETHUSDT,-3.2853469321325934,2470.15,2022-01-28 19:00:00,0 days 17:00:00,SIGNAL
4862,2022-02-25 23:00:00,0.14072920012952167,2791.58,long,4862,-14.983743320154487,ETHUSDT,-3.8140468838435666,2690.5899999999997,2022-02-27 01:00:00,1 days 02:00:00,TRAILING STOP
4864,2022-03-23 21:00:00,0.1307462415994367,2981.83,long,-1,16.260371393206558,ETHUSDT,4.170790420647724,3112.29,2022-03-26 14:00:00,2 days 17:00:00,SIGNAL
4867,2022-03-28 08:00:00,0.1184339507544284,3319.2499999999995,long,4867,-3.9983125900277368,ETHUSDT,-1.0170927619190882,3292.1015,2022-03-31 16:00:00,3 days 08:00:00,TRAILING STOP
4869,2022-04-28 17:00:00,0.13368033890479306,2934.71,long,4869,-16.710332182073873,ETHUSDT,-4.259438513515815,2815.458,2022-04-29 16:00:00,0 days 23:00:00,TRAILING STOP
4871,2022-05-30 22:00:00,0.19538690654392438,1990.8,long,-1,-10.603893605641005,ETHUSDT,-2.7261030741410446,1940.46,2022-06-01 03:00:00,1 days 05:00:00,SIGNAL
4874,2022-06-24 13:00:00,0.3195094398796743,1210.78,long,-1,4.971707468681278,ETHUSDT,1.2851583276895884,1228.78,2022-06-26 14:00:00,2 days 01:00:00,SIGNAL
4877,2022-06-27 19:00:00,-0.3236093046892414,1198.52,short,-1,-9.356687339411524,ETHUSDT,-2.41243617127791,1225.01,2022-06-28 09:00:00,0 days 14:00:00,SIGNAL
4880,2022-06-29 13:00:00,-0.3487913825551864,1106.62,short,4880,16.184557218020853,ETHUSDT,4.193112947533924,1058.0535,2022-06-30 23:00:00,1 days 10:00:00,TRAILING STOP
4882,2022-07-28 19:00:00,0.22623281515979257,1720.41,long,4882,-12.468729870125424,ETHUSDT,-3.2035732470748264,1668.6845,2022-07-29 11:00:00,0 days 16:00:00,TRAILING STOP
4884,2022-10-25 21:00:00,0.2623889424363082,1473.85,long,4884,5.0757790923195465,ETHUSDT,1.3125138582623863,1496.1645,2022-10-28 07:00:00,2 days 10:00:00,TRAILING STOP
4886,2022-10-29 15:00:00,0.23955176078348442,1618.59,long,-1,-9.42900164723391,ETHUSDT,-2.4318091672381423,1582.43,2022-10-30 17:00:00,1 days 02:00:00,SIGNAL
