ref,date,size,price,direction,parent,pnl $,pair,pnl %,exit_price,exit_date,duration,order_close
2981,2022-01-14 06:00:00,2104.267507111109,0.1899,long,2981,-8.177793770210858,DOGEUSDT,-2.046492890995267,0.18639,2022-01-14 11:00:00,0 days 05:00:00,TRAILING STOP
2983,2022-01-14 12:00:00,2111.2279828710166,0.1885,long,2983,-8.852758953215128,DOGEUSDT,-2.2244986737400625,0.18467999999999998,2022-01-14 23:00:00,0 days 11:00:00,TRAILING STOP
2985,2022-01-21 05:00:00,-2616.8936047790703,0.1514,short,2985,48.41510932861357,DOGEUSDT,12.219937252311771,0.13261499999999998,2022-01-22 12:00:00,1 days 07:00:00,TRAILING STOP
2987,2022-01-25 14:00:00,2890.819375219065,0.1404,long,2987,7.722086801957089,DOGEUSDT,1.902596153846163,0.143355,2022-01-26 21:00:00,1 days 07:00:00,TRAILING STOP
2989,2022-02-07 22:00:00,2420.760040205955,0.1683,long,2989,-21.165152872128118,DOGEUSDT,-5.195000000000003,0.159885,2022-02-08 08:00:00,0 days 10:00:00,TRAILING STOP
2991,2022-02-13 19:00:00,2666.5682076323374,0.1512,long,2991,-11.328781701715629,DOGEUSDT,-2.809821428571435,0.14725,2022-02-13 23:00:00,0 days 04:00:00,TRAILING STOP
2993,2022-03-15 00:00:00,3519.9439872389266,0.1139,long,-1,-1.1534856446181576,DOGEUSDT,-0.28770851624230814,0.11380000000000001,2022-03-16 19:00:00,1 days 19:00:00,SIGNAL
2996,2022-03-19 18:00:00,3252.3632588007495,0.1232,long,2996,-19.27257774812447,DOGEUSDT,-4.8098336038961,0.11751500000000001,2022-03-20 17:00:00,0 days 23:00:00,TRAILING STOP
2998,2022-03-23 18:00:00,3100.316317183689,0.128,long,2998,15.280870067298139,DOGEUSDT,3.8506328125000002,0.13319,2022-03-24 13:00:00,0 days 19:00:00,TRAILING STOP
3000,2022-03-27 09:00:00,2820.124185416638,0.1418,long,3000,6.792847226033991,DOGEUSDT,1.6986636107193247,0.144495,2022-03-28 23:00:00,1 days 14:00:00,TRAILING STOP
3002,2022-04-04 13:00:00,2659.0511711401787,0.1509,long,3002,-20.84498018861649,DOGEUSDT,-5.194999999999997,0.143355,2022-04-04 15:00:00,0 days 02:00:00,TRAILING STOP
3004,2022-04-04 23:00:00,2656.0935820637883,0.1494,long,3004,36.35448407642344,DOGEUSDT,9.16144578313252,0.1634,2022-04-05 19:00:00,0 days 20:00:00,TRAILING STOP
3006,2022-04-10 16:00:00,2630.771787252042,0.1537,long,3006,-13.765434453642738,DOGEUSDT,-3.404339622641521,0.14876999999999999,2022-04-10 23:00:00,0 days 07:00:00,TRAILING STOP
3008,2022-04-25 15:00:00,2889.2035046508236,0.139,long,3008,42.47708437139387,DOGEUSDT,10.576982014388474,0.153995,2022-04-25 22:00:00,0 days 07:00:00,TRAILING STOP
3010,2022-04-25 23:00:00,2655.9988153549157,0.1544,long,3010,3.902777779258757,DOGEUSDT,0.9516968911916943,0.15617999999999999,2022-04-26 12:00:00,0 days 13:00:00,TRAILING STOP
3012,2022-05-27 21:00:00,5072.419665072477,0.0811,long,-1,2.217661877569633,DOGEUSDT,0.5390875462391977,0.0817,2022-05-29 20:00:00,1 days 23:00:00,SIGNAL
3015,2022-06-13 00:00:00,-6474.249679790623,0.06352,short,3015,46.84647618389895,DOGEUSDT,11.39139719773298,0.056164500000000006,2022-06-13 10:00:00,0 days 10:00:00,TRAILING STOP
3017,2022-06-19 17:00:00,7307.087327750158,0.05756,long,3017,12.199865506344008,DOGEUSDT,2.9006141417651086,0.059346499999999996,2022-06-20 00:00:00,0 days 07:00:00,TRAILING STOP
3019,2022-10-26 22:00:00,5865.8887151570725,0.07213,long,3019,22.834139135603237,DOGEUSDT,5.396782198807712,0.076171,2022-10-27 09:00:00,0 days 11:00:00,TRAILING STOP
3021,2022-10-28 15:00:00,4971.159114097858,0.08603,long,3021,-16.461583285708176,DOGEUSDT,-3.8491427409043433,0.08288749999999999,2022-10-28 19:00:00,0 days 04:00:00,TRAILING STOP
3023,2022-10-28 20:00:00,5007.431161726567,0.08478,long,3023,86.34568680782816,DOGEUSDT,20.339124203821676,0.10221050000000001,2022-10-29 10:00:00,0 days 14:00:00,TRAILING STOP
3025,2022-10-29 11:00:00,4279.79141808718,0.10319,long,3025,113.77526969533355,DOGEUSDT,25.76247940691927,0.1300075,2022-10-29 18:00:00,0 days 07:00:00,TRAILING STOP
3027,2022-10-29 19:00:00,3515.246010975514,0.13214,long,3027,-24.26446014897001,DOGEUSDT,-5.223728621159386,0.125495,2022-10-29 20:00:00,0 days 01:00:00,TRAILING STOP
3029,2022-10-29 21:00:00,3569.3331836574275,0.12873,long,3029,-23.836124788459422,DOGEUSDT,-5.187627592635762,0.122303,2022-10-29 22:00:00,0 days 01:00:00,TRAILING STOP
3031,2022-11-25 21:00:00,5136.136114398695,0.08853,long,3031,1.0429412313217719,DOGEUSDT,0.22936801084378838,0.0889105,2022-11-26 22:00:00,1 days 01:00:00,TRAILING STOP
3033,2022-11-27 08:00:00,4694.200076715418,0.09692,long,3033,12.227726970532736,DOGEUSDT,2.6876377424679987,0.09972149999999999,2022-11-27 23:00:00,0 days 15:00:00,TRAILING STOP
