ref,date,size,price,direction,parent,pnl $,pair,pnl %,exit_price,exit_date,duration,order_close
6689,2022-01-26 20:00:00,0.1552551643272476,2573.84,long,6689,-20.7607948634357,ETHUSDT,-5.195368729213942,2445.1385,2022-01-26 21:00:00,0 days 01:00:00,TRAILING STOP
6691,2022-02-26 00:00:00,0.14284046127624597,2768.05,long,6691,-12.886614254862739,ETHUSDT,-3.259219829844113,2683.2845,2022-02-27 01:00:00,1 days 01:00:00,TRAILING STOP
6693,2022-03-23 21:00:00,0.13175722309313562,2981.83,long,-1,16.386102996334138,ETHUSDT,4.170790420647724,3112.29,2022-03-26 14:00:00,2 days 17:00:00,SIGNAL
6696,2022-03-28 08:00:00,0.11934972876053893,3319.25,long,6696,-4.029229119521101,ETHUSDT,-1.0170927619191152,3292.1014999999998,2022-03-31 16:00:00,3 days 08:00:00,TRAILING STOP
6698,2022-04-28 17:00:00,0.13471400799578073,2934.71,long,6698,-16.83954305944192,ETHUSDT,-4.259438513515814,2815.458,2022-04-29 16:00:00,0 days 23:00:00,TRAILING STOP
6700,2022-05-30 22:00:00,0.19689771514699048,1990.7999999999997,long,-1,-10.685887092148198,ETHUSDT,-2.7261030741410335,1940.46,2022-06-01 03:00:00,1 days 05:00:00,SIGNAL
6703,2022-06-24 12:00:00,0.3259835271562438,1195.9,long,-1,9.927932634272056,ETHUSDT,2.546644368258205,1228.78,2022-06-26 14:00:00,2 days 02:00:00,SIGNAL
6706,2022-07-28 19:00:00,0.2277541765540505,1720.41,long,6706,-12.552579086457902,ETHUSDT,-3.203573247074826,1668.6845,2022-07-29 11:00:00,0 days 16:00:00,TRAILING STOP
6708,2022-09-27 09:00:00,0.2824596105982398,1378.33,long,6708,-16.544729067284255,ETHUSDT,-4.249619974897161,1322.4569999999999,2022-09-27 16:00:00,0 days 07:00:00,TRAILING STOP
6710,2022-10-25 21:00:00,0.2619105844574334,1473.85,long,6710,5.066525503333394,ETHUSDT,1.3125138582623865,1496.1645,2022-10-28 07:00:00,2 days 10:00:00,TRAILING STOP
6712,2022-10-29 15:00:00,0.23911503698308226,1618.59,long,-1,-9.411811752991806,ETHUSDT,-2.4318091672381428,1582.43,2022-10-30 17:00:00,1 days 02:00:00,SIGNAL
