ref,date,size,price,direction,parent,pnl $,pair,pnl %,exit_price,exit_date,duration,order_close
1125,2022-01-24 21:00:00,363.9347901642983,1.098,long,1125,-20.759240759240736,ADAUSDT,-5.194999999999995,1.0431000000000001,2022-01-25 00:00:00,0 days 03:00:00,TRAILING STOP
1127,2022-01-26 18:00:00,361.47413084917997,1.094,long,1127,-11.281228075965522,ADAUSDT,-2.8527376599634384,1.06495,2022-01-26 21:00:00,0 days 03:00:00,TRAILING STOP
1129,2022-02-03 22:00:00,372.34726091423613,1.056,long,-1,-3.0182468969708003,ADAUSDT,-0.7676136363636369,1.05,2022-02-04 14:00:00,0 days 16:00:00,SIGNAL
1132,2022-02-16 23:00:00,361.5061336946337,1.085,long,-1,-6.562782351092386,ADAUSDT,-1.6731797235023056,1.069,2022-02-17 05:00:00,0 days 06:00:00,SIGNAL
1135,2022-03-21 21:00:00,433.316075268415,0.902,long,-1,23.459732315032007,ADAUSDT,6.002217294900227,0.9580000000000001,2022-03-22 20:00:00,0 days 23:00:00,SIGNAL
1138,2022-03-23 16:00:00,369.376562659684,1.071,long,-1,29.836391848835962,ADAUSDT,7.542016806722686,1.154,2022-03-24 22:00:00,1 days 06:00:00,SIGNAL
1141,2022-03-28 00:00:00,339.4704326215336,1.184,long,1141,-2.5164773435017214,ADAUSDT,-0.6260937499999811,1.1789500000000002,2022-03-28 21:00:00,0 days 21:00:00,TRAILING STOP
1143,2022-04-16 23:00:00,420.3457586888706,0.9549999999999998,long,-1,-5.841965354257882,ADAUSDT,-1.455287958115173,0.943,2022-04-17 05:00:00,0 days 06:00:00,SIGNAL
1146,2022-04-18 19:00:00,430.39029430415576,0.929,long,-1,-1.2296250708269256,ADAUSDT,-0.3075349838535942,0.9280000000000002,2022-04-19 08:00:00,0 days 13:00:00,SIGNAL
1149,2022-04-28 22:00:00,470.553222406816,0.8501,long,-1,-7.287175423480879,ADAUSDT,-1.8217150923420682,0.8363,2022-04-29 03:00:00,0 days 05:00:00,SIGNAL
1152,2022-05-30 10:00:00,767.201761814136,0.5195,long,-1,10.46946540224428,ADAUSDT,2.6268142444658418,0.5342,2022-05-30 20:00:00,0 days 10:00:00,SIGNAL
1155,2022-05-30 22:00:00,714.1766783272964,0.5609,long,1155,53.06882278925788,ADAUSDT,13.247939917988955,0.636405,2022-05-31 12:00:00,0 days 14:00:00,TRAILING STOP
1157,2022-06-14 12:00:00,834.5297847769244,0.493,long,1157,-10.285287511950896,ADAUSDT,-2.4999290060851864,0.48165,2022-06-14 18:00:00,0 days 06:00:00,TRAILING STOP
1159,2022-07-27 19:00:00,830.0228710713552,0.493,long,-1,10.790297323927629,ADAUSDT,2.6369168356998,0.507,2022-07-28 07:00:00,0 days 12:00:00,SIGNAL
1162,2022-08-25 21:00:00,869.8608141243445,0.47300000000000003,long,-1,-6.297531336016041,ADAUSDT,-1.5305919661733673,0.4667,2022-08-26 03:00:00,0 days 06:00:00,SIGNAL
1165,2022-08-29 16:00:00,919.2982088774233,0.4461,long,-1,4.781913493117688,ADAUSDT,1.1660390047074636,0.4522,2022-08-30 14:00:00,0 days 22:00:00,SIGNAL
1168,2022-09-21 19:00:00,892.8200657071477,0.4605,long,1168,-21.443645199746417,ADAUSDT,-5.215609120521179,0.43738,2022-09-21 21:00:00,0 days 02:00:00,TRAILING STOP
1170,2022-09-22 20:00:00,880.4543585632398,0.46210000000000007,long,1170,-8.268104756318838,ADAUSDT,-2.0321845920796506,0.453625,2022-09-23 08:00:00,0 days 12:00:00,TRAILING STOP
1172,2022-10-25 16:00:00,1084.943611874492,0.3735,long,-1,25.527312760711347,ADAUSDT,6.299518072289153,0.3978,2022-10-26 02:00:00,0 days 10:00:00,SIGNAL
