ref,date,size,price,direction,parent,pnl $,pair,pnl %,exit_price,exit_date,duration,order_close
1784,2022-01-21 22:00:00,-350.21945626678314,1.141,short,1784,29.63024705355993,ADAUSDT,7.414969325153374,1.0542,2022-01-22 12:00:00,0 days 14:00:00,TRAILING STOP
1786,2022-01-24 21:00:00,369.3265290362752,1.098,long,1786,-21.06679147541106,ADAUSDT,-5.194999999999995,1.0431000000000001,2022-01-25 00:00:00,0 days 03:00:00,TRAILING STOP
1788,2022-01-26 18:00:00,366.829414749446,1.094,long,1788,-11.44836086344473,ADAUSDT,-2.8527376599634384,1.06495,2022-01-26 21:00:00,0 days 03:00:00,TRAILING STOP
1790,2022-02-03 22:00:00,377.8636315795387,1.056,long,-1,-3.0629625975837427,ADAUSDT,-0.7676136363636369,1.05,2022-02-04 14:00:00,0 days 16:00:00,SIGNAL
1793,2022-02-16 23:00:00,366.8618917210084,1.085,long,-1,-6.660010782303192,ADAUSDT,-1.6731797235023054,1.069,2022-02-17 05:00:00,0 days 06:00:00,SIGNAL
1796,2022-02-22 05:00:00,-484.2455401512676,0.82,short,1796,-20.668083899196272,ADAUSDT,-5.205000000000005,0.861,2022-02-22 10:00:00,0 days 05:00:00,TRAILING STOP
1798,2022-03-22 18:00:00,403.02754423742846,0.976,long,-1,-3.202456866510564,ADAUSDT,-0.8141393442622843,0.9700000000000001,2022-03-22 19:00:00,0 days 01:00:00,SIGNAL
1801,2022-03-23 16:00:00,365.9626904008511,1.071,long,-1,29.560636317128733,ADAUSDT,7.542016806722686,1.154,2022-03-24 22:00:00,1 days 06:00:00,SIGNAL
1804,2022-03-26 23:00:00,349.0080851464467,1.141,long,-1,-1.1450955273655308,ADAUSDT,-0.2875547765118415,1.14,2022-03-27 07:00:00,0 days 08:00:00,SIGNAL
1807,2022-03-28 00:00:00,336.13972536903526,1.184,long,1807,-2.491786977174315,ADAUSDT,-0.6260937499999811,1.1789500000000002,2022-03-28 21:00:00,0 days 21:00:00,TRAILING STOP
1809,2022-04-16 23:00:00,416.2215448178416,0.955,long,-1,-5.784647029878367,ADAUSDT,-1.4552879581151843,0.943,2022-04-17 05:00:00,0 days 06:00:00,SIGNAL
1812,2022-04-18 19:00:00,426.1675286760165,0.929,long,-1,-0.7918192682800388,ADAUSDT,-0.2,0.929,2022-04-19 07:00:00,0 days 12:00:00,SIGNAL
1815,2022-04-28 22:00:00,466.03646161708906,0.8501,long,-1,-7.217227059186852,ADAUSDT,-1.8217150923420682,0.8363,2022-04-29 03:00:00,0 days 05:00:00,SIGNAL
1818,2022-05-09 18:00:00,-614.2788556057556,0.6424,short,1818,-9.951133177156574,ADAUSDT,-2.52174657534247,0.6573,2022-05-09 20:00:00,0 days 02:00:00,TRAILING STOP
1820,2022-05-10 00:00:00,-652.5126336853699,0.6025,short,1820,-20.051383714271367,ADAUSDT,-5.10033112033194,0.631995,2022-05-10 01:00:00,0 days 01:00:00,TRAILING STOP
1822,2022-05-17 19:00:00,-692.0795509041168,0.5617,short,1822,27.41139547572912,ADAUSDT,7.051324550471784,0.52101,2022-05-19 03:00:00,1 days 08:00:00,TRAILING STOP
1824,2022-05-29 23:00:00,822.8300689536534,0.479,long,-1,44.58652838037785,ADAUSDT,11.312484342379966,0.5342,2022-05-30 20:00:00,0 days 21:00:00,SIGNAL
1827,2022-05-30 22:00:00,718.5851752486489,0.5609,long,1827,53.396408033898176,ADAUSDT,13.247939917988955,0.636405,2022-05-31 12:00:00,0 days 14:00:00,TRAILING STOP
1829,2022-06-23 23:00:00,868.404819114959,0.4765,long,-1,18.171457680462453,ADAUSDT,4.3914165792235105,0.4984,2022-06-24 19:00:00,0 days 20:00:00,SIGNAL
1832,2022-07-27 19:00:00,846.7049841450207,0.493,long,-1,11.00716479388528,ADAUSDT,2.6369168356998,0.507,2022-07-28 07:00:00,0 days 12:00:00,SIGNAL
1835,2022-08-25 21:00:00,887.3436052200195,0.473,long,-1,-6.424101498711351,ADAUSDT,-1.5305919661733556,0.4667,2022-08-26 03:00:00,0 days 06:00:00,SIGNAL
1838,2022-08-29 16:00:00,937.7746114000628,0.44610000000000005,long,-1,0.9433074816072831,ADAUSDT,0.22548755884329907,0.448,2022-08-30 03:00:00,0 days 11:00:00,SIGNAL
1841,2022-09-07 21:00:00,873.5748845102612,0.47920000000000007,long,-1,-3.1935277053042417,ADAUSDT,-0.7628756260434246,0.4765,2022-09-08 04:00:00,0 days 07:00:00,SIGNAL
1844,2022-09-10 00:00:00,832.1219826668238,0.5022,long,-1,6.5626964406984545,ADAUSDT,1.5704301075268854,0.5111,2022-09-10 22:00:00,0 days 22:00:00,SIGNAL
1847,2022-09-21 19:00:00,910.518870015983,0.4605000000000001,long,1847,-21.868732957779503,ADAUSDT,-5.215609120521178,0.43738000000000005,2022-09-21 21:00:00,0 days 02:00:00,TRAILING STOP
1849,2022-09-22 20:00:00,897.9080314740626,0.4621,long,-1,-2.0856607755079635,ADAUSDT,-0.5026617615234824,0.4607,2022-09-23 08:00:00,0 days 12:00:00,SIGNAL
1852,2022-10-14 16:00:00,-1112.8270545149167,0.3723,short,-1,4.1841184422706394,ADAUSDT,1.0099113618049969,0.3678,2022-10-15 03:00:00,0 days 11:00:00,SIGNAL
1855,2022-10-25 16:00:00,1112.085652924768,0.3735,long,-1,26.165929701970978,ADAUSDT,6.299518072289153,0.3978,2022-10-26 02:00:00,0 days 10:00:00,SIGNAL
