created_at,text,user,retweet_count,favorite_count,followers,is_verified,clean_text,sentiment
Sun Sep 29 23:42:08 +0000 2024,Will RLUSD Help pump our XRP bags?,MetaMan_X,9,60,11000,,Will RLUSD Help pump our XRP bags?,Neutral
Sun Sep 29 21:48:04 +0000 2024,Mints 99% Of RLUSD Tokens In 24 Hours,XRPcryptowolf,29,132,403431,,Mints 99% Of RLUSD Tokens In 24 Hours,Neutral
Sun Sep 29 21:46:02 +0000 2024,$XRP Don't ignore this new feature on - Topics - &gt; Multi-Purpose Tokens Feature &gt; Institutional Focused Defi &gt; DEX &amp; AMM use with MPT's,DrewDeVilbiss,17,49,6912,,$XRP Don't ignore this new feature on - Topics - &gt; Multi-Purpose Tokens Feature &gt; Institutional Focused Defi &gt; DEX &amp; AMM use with MPT's,Positive
Sun Sep 29 20:50:17 +0000 2024,Retweet if you're patiently waiting for $XRP to hit least at $10 and secure financial freedom for life!,TokenGlade,9,21,3493,,Retweet if you're patiently waiting for $XRP to hit least at $10 and secure financial freedom for life!,Positive
Sun Sep 29 20:25:04 +0000 2024,"BREAKING: XRP Price Glitches to $9,868 in Sudden Move!!",CryptoGeekNews,88,429,86938,,"BREAKING: XRP Price Glitches to $9,868 in Sudden Move!!",Positive
Sun Sep 29 20:15:11 +0000 2024,whales have bought over 470 million $XRP in the past 10 days!,ali_charts,37,255,138861,,whales have bought over 470 million $XRP in the past 10 days!,Positive
Sun Sep 29 19:47:14 +0000 2024,is near!! Its almost like planned this whole coming out right as the bull run is starting to pick up and with the  NOT appealing which all will make go BOOOOOOOOM! We ready baby! ,MicahPW20,3,44,10419,,is near!! Its almost like planned this whole coming out right as the bull run is starting to pick up and with the NOT appealing which all will make go BOOOOOOOOM! We ready baby!,Positive
Sun Sep 29 19:27:03 +0000 2024,CHINA BREAKING NEWSGOVERNMENT TO POSSIBLY GREEN LIGHT CRYPTO LIKE BLACKROCK??,CryptoHulk19,16,134,52593,,CHINA BREAKING NEWSGOVERNMENT TO POSSIBLY GREEN LIGHT CRYPTO LIKE BLACKROCK??,Positive
Sun Sep 29 19:19:22 +0000 2024,KABOOMCRYPTO GLOBAL HUB TO BE IN THIS COUNTRY. RIPPLE XRP PARTNER SINCE 2014!,CryptoHulk19,24,150,52593,,KABOOMCRYPTO GLOBAL HUB TO BE IN THIS COUNTRY. RIPPLE XRP PARTNER SINCE 2014!,Positive
Sun Sep 29 19:11:11 +0000 2024,BREAKINGUSA SEC TO CHALLENGE THE RIPPLE XRP JUDGE RULING??? Dammit!!,CryptoHulk19,90,486,52593,,BREAKINGUSA SEC TO CHALLENGE THE RIPPLE XRP JUDGE RULING??? Dammit!!,Negative
Sun Sep 29 19:03:22 +0000 2024,"WARNINGOCT 12, 2024. RUSSIA TO LOSE THEIR TRADING LICENSE. SUSPENDED!! ALL BAD!!",CryptoHulk19,40,190,52593,,"WARNINGOCT 12, 2024. RUSSIA TO LOSE THEIR TRADING LICENSE. SUSPENDED!! ALL BAD!!",Negative
Sun Sep 29 18:51:40 +0000 2024,BYE BYE USA DOLLARRUSSIA LEGALIZES CRYPTO TO SANCTIONS! MOONSHOT!!,CryptoHulk19,59,279,52593,,BYE BYE USA DOLLARRUSSIA LEGALIZES CRYPTO TO SANCTIONS! MOONSHOT!!,Positive
