,phase,fold,epoch,precision,recall,f1,accuracy,roc_score
0,train,fold_1,epoch_1,0.411277610656649,0.421476609204609,0.40134053215524396,0.5079656862745098,0.636921504670548
1,train,fold_1,epoch_2,0.4677109691930754,0.4887209104155604,0.47779536468239475,0.7009803921568627,0.8076611439369702
2,train,fold_2,epoch_1,0.396613056282268,0.3810321445452693,0.38061890512660107,0.49816176470588236,0.6127198079524332
3,train,fold_2,epoch_2,0.45661924900679224,0.47710179046128504,0.46636197929363066,0.6844362745098039,0.7878435129750333
4,train,fold_3,epoch_1,0.4099507065754744,0.4026328687721093,0.39532121869043807,0.5110294117647058,0.6235025331769196
5,train,fold_3,epoch_2,0.4643270064553426,0.4853197435475916,0.47443565411621574,0.696078431372549,0.7931869632185938
6,train,fold_4,epoch_1,0.41154495333453117,0.4043973490176022,0.3970421587010549,0.5134803921568627,0.6338662034770728
7,train,fold_4,epoch_2,0.46164038053920237,0.482919612033536,0.4720391630380962,0.6924019607843137,0.7926577716131727
8,train,fold_5,epoch_1,0.40746494150520585,0.4002436967626841,0.3926101892947171,0.5073529411764706,0.6299319689273478
9,train,fold_5,epoch_2,0.4635846476204815,0.48447586169105156,0.4736339289047655,0.6948529411764706,0.7979447887366482
10,eval,fold_1,epoch_1,0.4405465773222967,0.45760676117584137,0.4464719963723412,0.6568627450980392,0.7431378693373379
11,eval,fold_1,epoch_2,0.46241830065359474,0.48379404364254847,0.4728522941177702,0.6936274509803921,0.7909287284745615
12,eval,fold_2,epoch_1,0.4515860322537651,0.46606699806247426,0.4546707571917656,0.6691176470588235,0.7675154524216256
13,eval,fold_2,epoch_2,0.4770903961594255,0.4993380850933256,0.48781345796271164,0.7156862745098039,0.8218534808739933
14,eval,fold_3,epoch_1,0.42719426803452204,0.445128367003367,0.43374172296729524,0.6372549019607843,0.7481929464568354
15,eval,fold_3,epoch_2,0.4537227478403949,0.47401094276094274,0.4625137574290117,0.678921568627451,0.7916540667408722
16,eval,fold_4,epoch_1,0.4400109694227341,0.4594381313131313,0.4489938140607846,0.6593137254901961,0.7714313753376253
17,eval,fold_4,epoch_2,0.47194279481275,0.49195075757575757,0.48100707548655786,0.7058823529411765,0.8025703431085377
18,eval,fold_5,epoch_1,0.4266067177995239,0.4463383838383838,0.43607605670961136,0.6397058823529411,0.7529832211255822
19,eval,fold_5,epoch_2,0.44487265953688543,0.46527777777777773,0.45437485338963174,0.6666666666666666,0.7995241721370192
