,phase,fold,epoch,precision,recall,f1,accuracy,roc_score
0,train,fold_1,epoch_1,0.12491781722550953,0.3703703703703704,0.08207070707070707,0.046511627906976744,0.5336098603736641
1,train,fold_1,epoch_2,0.34823717948717947,0.3370980870980871,0.1622554989741787,0.20348837209302326,0.49887361913818973
2,train,fold_2,epoch_1,0.1803921568627451,0.3703703703703704,0.08697140900530731,0.046511627906976744,0.5159873300977595
3,train,fold_2,epoch_2,0.38727858293075684,0.42378917378917386,0.1613019763905647,0.19186046511627908,0.6022686158422355
4,train,fold_3,epoch_1,0.013565891472868219,0.3333333333333333,0.0260707635009311,0.040697674418604654,0.46833956205121846
5,train,fold_3,epoch_2,0.3330249768732655,0.3327228327228327,0.10896371231566764,0.16279069767441862,0.518947758671685
6,train,fold_4,epoch_1,0.12491781722550953,0.3703703703703704,0.08207070707070707,0.046511627906976744,0.4902478024985693
7,train,fold_4,epoch_2,0.34617604617604614,0.3633496133496133,0.13210730619931588,0.1511627906976744,0.5523687606701411
8,train,fold_5,epoch_1,0.0992063492063492,0.375,0.08585858585858586,0.05232558139534884,0.5551321138211383
9,train,fold_5,epoch_2,0.39391252955082745,0.42414529914529914,0.16312193018634472,0.18604651162790697,0.613990514905149
10,eval,fold_1,epoch_1,0.34959349593495936,0.34188034188034183,0.04767441860465116,0.06976744186046512,0.5968834688346883
11,eval,fold_1,epoch_2,0.35353535353535354,0.40170940170940167,0.15157041540020263,0.23255813953488372,0.6396706274755054
12,eval,fold_2,epoch_1,0.016666666666666666,0.3333333333333333,0.031746031746031744,0.046511627906976744,0.5001042318115488
13,eval,fold_2,epoch_2,0.2619047619047619,0.09401709401709402,0.13836477987421383,0.2558139534883721,0.35975609756097565
14,eval,fold_3,epoch_1,0.12777777777777777,0.5,0.16507936507936508,0.06976744186046512,0.6786012090890141
15,eval,fold_3,epoch_2,0.4666666666666666,0.5854700854700855,0.3110544217687075,0.3023255813953488,0.7258703356264332
16,eval,fold_4,epoch_1,0.015873015873015872,0.3333333333333333,0.030303030303030304,0.046511627906976744,0.5328851365436731
17,eval,fold_4,epoch_2,0.35802469135802467,0.4444444444444444,0.21264367816091956,0.3488372093023256,0.6221075672295184
18,eval,fold_5,epoch_1,0.34188034188034183,0.35042735042735046,0.049186991869918706,0.06976744186046512,0.5535103785103784
19,eval,fold_5,epoch_2,0.34375,0.4188034188034188,0.1562564419707277,0.2558139534883721,0.5652319902319902
