created_at,text,user,retweet_count,favorite_count,followers,is_verified
Wed Jul 27 21:29:36 +0000 2022,The founder of likely wouldnt dump on retail at the top of the market. But Vitalik will dump his ETH on you. Time to wake up. Ethereum is a scam.,WendellMoone,292,1331,3655,False
Wed Jul 27 19:13:18 +0000 2022,Check out the engine room of an  Hash Hut combo. Natural gas Chevy V8 means service parts are available at any auto parts store. Captured gas means bringing stranded energy directly to market through mining.,econoalchemist,80,430,30473,False
Mon Jul 04 13:25:36 +0000 2022,1/ Bitcoin is trading below its 200 WMA and short-and long-term cost bases for only the fourth time in price history. These levels have historically marked generational bottoms.,yassine_elman,277,1213,105420,False
Tue Jul 26 12:00:37 +0000 2022,The Real King of Plebs Are There No More Women in Bitcoin Simpflueners forced to chase boomers this bear market while the risk chair sits empty! The Only Hero Needs is  BT Weekly's Special Feature Read more:,GhostOfBekka,25,150,14264,False
Fri Jul 22 08:41:28 +0000 2022,"Morning everyone! The is on the plus side today, most of the alts are green. is now trading around $23,000, is trading above $1,550 and above $260! Bitcoin dominance: 42.82%; Fear and Greed Index: 33 (fear);",GemsFinderr,22,93,61687,False
Wed Jul 27 16:58:03 +0000 2022,"$BTC Yes, the last FOMC-Meetings were terrible for the market, but I think this time, it could be the start of a strong rally for $BTC. - $BTC is in a descending broadening wedge and could break out soon. -RSI-Trendline is also holding -Target ~$42.000 Dollar",el_crypto_prof,124,587,155596,False
Sun Jul 17 17:07:12 +0000 2022,"$BTC / $USD - Market structure update Those saying we have bottomed need to zoom out lol, how can you say that based on a simple range bound I played the long, but am i saying we have bottomed here, definitely not. Need more data and a break in market structure",CryptoTony__,10,196,525216,False
Tue Jul 26 09:11:05 +0000 2022,$BTC I hope you noticed that $BTC recently broke out of a downtrend channel that lasted over 4 months. Bitcoin is only in the process of retesting the breakout before going significantly higher.,el_crypto_prof,156,781,155596,False
Sat Jul 02 07:59:04 +0000 2022,$BTC (1D) scenario looks bearish. We are seeing huge influx of to exchanges amidst the global macro economic outlook I believe $BTC will hold the crucial $18.5k level in order to create the demand zone for a leg up to $21k Placing my orders in and around $18.5k levels,DaCryptoGeneral,28,230,229059,False
Thu Jul 28 16:47:34 +0000 2022,"$BTC Another huge sign that the current downtrend is over. - $BTC tries to break the EMA Ribbon (D) upwards. The last time this happened, $BTC went up almost 140% in price. -Volume underlines the breakout and is even more violent than 2021.",el_crypto_prof,91,492,155596,False
Tue Jul 19 08:03:12 +0000 2022,"BITCOIN HUGE BOOST!! MORGAN STANLEY MANIPULATION!!! ETHEREUM TO $2,000!?! Bitcoin Mining Cost!! In Todays Video: - Mining Data - Crypto News - Altcoins Overview - Traditional Market Data WATCH THIS VIDEO LINK BELOW",MartiniGuyYT,27,121,687870,False
Sat Jul 30 03:56:02 +0000 2022,bear market accumulation visualised. It's one from my private collection. Use it at your own discretion to time your generational bottom entry.,woonomic,742,3745,1198350,False
Thu Jul 07 19:15:35 +0000 2022,"market. 1- MM have been selling while the price has been in a range (20.3k and 20.6k). 2- The recent pump has been used for short liquidation, more than 3 MUSD in a minute. 3- Also the last pump is being sold. Therefore, it is possibly a pump and dump...",ErnestScalps,25,214,21210,False
Fri Jul 01 00:35:22 +0000 2022,$BTC &amp; MARKET UPDATE The Ideal Scenario would be an upside to 29K before we go even lower towards 14k. A little Green before more downside. The market will follow BTC.,RAFAELA_RIGO_,71,506,153442,False
Tue Jul 19 06:42:27 +0000 2022,Something like this is what the majority are expecing for going forward. This is the bear market -85% drawdown from the ATH november 2021. Anything can happen this is If we do see the June 18th low lost at any point then this would have to be the play IMO,Coins_Kid,27,231,149870,False
Wed Jul 27 09:46:14 +0000 2022,Good Morning gang! How are we feeling about the market today? pump if the fed news is as expected?,OfficialTravlad,84,382,466028,False
Mon Jul 25 05:27:39 +0000 2022,"just hit $30,000 In my dreamBear market is tough",Ashcryptoreal,40,272,1812110,False
Thu Jul 21 11:29:28 +0000 2022,Which project do you TRUST the most? 1.  2.  3.  4.  follow my twitter ,BullMarketInfo,128,181,32378,False
Thu Jul 28 23:07:14 +0000 2022,"Sorprendente! Estados Unidos entra en recesin y no solo no se desmorona, sino que acaba el da en 24.000$ y una subida del 5%",cryptobcncat,89,400,70923,False
Sat Jul 16 08:44:19 +0000 2022,When they discover you brought the dip in the great bear market of 2022,CryptoTony__,567,5162,525216,False
Wed Jul 20 17:39:00 +0000 2022,BEAR MARKET BOTTOM IS IN!,rovercrc,72,523,1222483,False
Tue Jul 19 15:26:00 +0000 2022,Bear Market Bottom Signal Flashed!,rovercrc,80,447,1222483,False
Sun Jul 17 10:03:33 +0000 2022,"The history of markets is one of overreaction in both directions. Peter Bernstein BTC Market cycles, tops and lows, bull run resistance line. The worst is already behind us.",StockmoneyL,142,562,157467,False
Wed Jul 13 13:09:00 +0000 2022,Pi Cycle Bottom Indicates the Bear Market Bottom is formed!,rovercrc,164,784,1222483,False
Mon Jul 18 09:07:46 +0000 2022,"starts the week rising above $22,000. The total capitalization of the cryptocurrency market approached $1 trillion.",Gems_1000x,61,112,243367,False
Thu Jul 28 18:19:20 +0000 2022,"PRICES KEEP SURGING as Bitcoin Price Chart and Altcoin Market Reach Up to Resistance, GDP Non Event",BCBacker,44,520,330885,False
Thu Jul 28 12:49:37 +0000 2022,"comes out -0.9%. Markets initially sell, then rally as investors love the falling and likelihood that the can no longer raise rates aggressively. So risk on for now UNTIL the market realizes the Fed can't print us out of a bad recession.",GarethSoloway,243,1905,231131,False
Tue Jul 19 15:40:31 +0000 2022,Keep the energy going Love to see a green market,ScottLEOWarrior,29,171,516877,False
Wed Jul 27 11:43:21 +0000 2022,"Bitcoin is obviously linked to stock markets (and all things of value) because fiat currencies are deflated. Crucial difference is that bitcoin grows much faster because it is scarcer. In the same period, S&amp;P500 went from $1K to $4K (4x), and BTC went from $2 to $20K (10,000x).",100trillionUSD,424,2487,2111718,False
Sat Jul 30 15:23:30 +0000 2022,A thought about . Bitcoin uses ~150Twh of electricity a year. Thats in the ballpark of $40bn which is about 10% of the entire market cap. So you need $40bn of new suckerssorry new adopters just to keep the whole magic bean show on the road.,ewankirk,64,362,1254,False
Sat Jul 16 14:19:23 +0000 2022,"Dier ay piyasas dngsn inceleyen , fiyatnn ortalama 244 gn boyunca maliyetin altnda kaldn, mevcut ay piyasasnn ise henz 30 gndr devam ettiini ve toparlanmann ise ubat 2023'te olacan tahmin ettiini belirtti.",CryptoZeybek,16,130,123531,False
Sun Jul 24 13:24:36 +0000 2022,"Super Cycle of the Stock Market, Impacts on Bitcoin Price Chart, Altcoin Market, Recession Worries",BCBacker,64,685,330885,False
Sat Jul 23 23:32:13 +0000 2022,"Robert warned that the U.S. bond market is crashing and it's the ""Biggest bond since 1788."" $BTC",BTCTN,60,203,3149638,False
Thu Jul 14 06:43:00 +0000 2022,"Honestly, this is not the time to sell... The amount of emotions in this market is crazy. Emotions work in both directions, up and down. Buy &amp; HODL.",rovercrc,41,247,1222483,False
Tue Jul 26 11:17:12 +0000 2022,The markets are correcting and preferred was $21.6K to hold for . That's a crucial breaker now too if it breaks to the upside -&gt; new highs. Looking at a $20.5K-20.7K area to hold for going into FOMC tomorrow. If &lt;100bps -&gt; upwards after.,CryptoMichNL,40,301,786589,False
Sun Jul 24 15:18:25 +0000 2022,NEW: bear market could be coming to an end - Citibank,BTC_Archive,661,4755,1707937,False
Fri Jul 22 11:38:12 +0000 2022,FTX CEO: Market recovery could happen remarkably fast.,BTC_Archive,527,3779,1707937,False
Fri Jul 22 11:49:40 +0000 2022,A Spicy Week of Fighting for BT Weekly Find out if sponsors even cares about plebs or is it an huge influencing circle jerk? Plus! 3 steps you can take this bear market!,GhostOfBekka,21,146,14264,False
Mon Jul 25 09:20:11 +0000 2022,$BTC H4 3 descending peaks confirming. Id suspect a move down to the teens if not lower. We have FOMC this week and the macro is continuing to get worse. 1D MACD is rolling over and 1W rejected the 200 MA. Im not sure why anyone is long.,Roman_Trading,27,315,61390,False
Mon Jul 25 00:12:30 +0000 2022,$BTC 1W Closed below the 200 WMA. Everything above was all liquidity grab for deviation. Macro hasnt changed &amp; the pump was supported by derivatives not spot accumulation. Bulls celebrating another dead cat bounce just be to be left with LLs again.,Roman_Trading,10,212,61390,False
Thu Jul 28 03:34:25 +0000 2022,The bull market ended out of nowhere &amp; no one knew the top was in until weeks later. The same will happen to the bear market bottom.,cryptorecruitr,102,1065,291388,False
Tue Jul 19 17:22:47 +0000 2022,"Is still going down to $10k? When the market bottoms, it tends to be when everyone expects another 50% drop. When the market peaks is when everyone is talking about another 100-300% gain Entry and exit strategy is the best way to avoid missing both",JRNYcrypto,34,309,778334,False
Sun Jul 17 09:10:32 +0000 2022,"is still in its exponential growth phase - as we pointed out before, there are these parallel channels - currently in the heavily oversold area / accumulation zone. The SMIIO Indicator* demonstrates we're again at reversal point - descending reversal wedges",StockmoneyL,62,175,157467,False
Sun Jul 24 22:10:20 +0000 2022,"$BTC Weekly Markets like to make life as difficult and confusing as possible, so of course is trading precisely at the 200 MA on the weekly with only a couple of hours left until the close.",scottmelker,30,356,1038811,False
Sat Jul 23 12:32:19 +0000 2022,"falls to start the weekend, moving towards $22,000.",BTCTN,41,158,3149638,False
Mon Jul 25 17:10:02 +0000 2022,$151 million in crypto has been liquidated in the last 24 hours. If you're not an experienced trader stop trading these bear market rallies! Buy and have patience.,LayahHeilpern,76,1146,709668,False
Wed Jul 27 15:10:02 +0000 2022,Be a builder in the bear market so you can be a baller in the bull market!,TheMoonCarl,85,677,1502362,False
Fri Jul 15 02:28:32 +0000 2022,"I love being bullish in a bear market. Most people dont understand NOW is the time to be bullish. Absolutely, we should realize that there may be more downside (even for months)but NOW is the time think optimistically about your future. Plan. Build!",cryptorecruitr,46,503,291388,False
Thu Jul 21 12:26:03 +0000 2022,Up to $100 billion of get traded every day. Someone selling $1 billion is a drop in the ocean.,cz_binance,1310,7638,10127952,False
