,phase,fold,epoch,precision,recall,f1,accuracy,roc_score
0,train,fold_1,epoch_1,0.40011410532412706,0.3714512868707853,0.3674645334794346,0.539364640883978,0.5831092387669902
1,train,fold_1,epoch_2,0.4592140067314245,0.46003488813045124,0.45493152188353814,0.699585635359116,0.7680023436537483
2,train,fold_2,epoch_1,0.3910853700423358,0.36800722164515015,0.3667564808744998,0.5220994475138122,0.5924946210284135
3,train,fold_2,epoch_2,0.4463364687898257,0.44489723170269246,0.4396049271969968,0.6830110497237569,0.7559296397542692
4,train,fold_3,epoch_1,0.4060744627142663,0.3889538507196913,0.38250605725690195,0.5435082872928176,0.5984963031292919
5,train,fold_3,epoch_2,0.46484547124246084,0.46249374288964734,0.4579195928634739,0.705110497237569,0.7616553815880506
6,train,fold_4,epoch_1,0.3990443983352446,0.37726058927305406,0.37213558161087296,0.5366022099447514,0.588029242310974
7,train,fold_4,epoch_2,0.456268075549739,0.4561266590822905,0.4509846687510514,0.6961325966850829,0.757464076460406
8,train,fold_5,epoch_1,0.4114927403611208,0.3869661319073084,0.38345867059700645,0.5462707182320442,0.5977991764689855
9,train,fold_5,epoch_2,0.45890863200075466,0.4573181818181818,0.4525614529403879,0.6988950276243094,0.7634393380143609
10,eval,fold_1,epoch_1,0.43715728715728713,0.4468484848484849,0.44007092198581566,0.6740331491712708,0.7284520659292942
11,eval,fold_1,epoch_2,0.4474329902901331,0.4613333333333333,0.45343167747859825,0.6878453038674033,0.7610017940249029
12,eval,fold_2,epoch_1,0.4411071419892591,0.39096969696969697,0.37110904968047825,0.6519337016574586,0.7379432516019883
13,eval,fold_2,epoch_2,0.49648879545556196,0.4702424242424243,0.4683987577801167,0.7292817679558011,0.766315070132049
14,eval,fold_3,epoch_1,0.4184495054060271,0.39678787878787874,0.38523346861804614,0.643646408839779,0.7270151942406123
15,eval,fold_3,epoch_2,0.44246651257721364,0.438,0.4329159437781298,0.6767955801104972,0.7639994736751953
16,eval,fold_4,epoch_1,0.4414610952620686,0.40854545454545454,0.39751849696566627,0.6629834254143646,0.7130231769540011
17,eval,fold_4,epoch_2,0.46198988804622604,0.4424848484848485,0.43792191205984315,0.6933701657458563,0.7573744072973586
18,eval,fold_5,epoch_1,0.45786200769914126,0.41450228310502285,0.40299957752429233,0.6712707182320442,0.7225915908699428
19,eval,fold_5,epoch_2,0.4354032333426783,0.45036225266362256,0.44176742664227603,0.6740331491712708,0.7565091487498465
