,phase,fold,epoch,precision,recall,f1,accuracy,roc_score
0,train,fold_1,epoch_1,0.38200032638346165,0.37524605024605023,0.32948089660198726,0.5108877721943048,0.5469166449884686
1,train,fold_1,epoch_2,0.43651706942846186,0.41087801087801085,0.41202491649363543,0.6984924623115578,0.6658316863168241
2,train,fold_2,epoch_1,0.3745443988765719,0.3211978166569595,0.3232835518862984,0.516750418760469,0.5318303590906447
3,train,fold_2,epoch_2,0.4258123689727464,0.4040052688963305,0.4042730228123676,0.6892797319932998,0.6455866518341185
4,train,fold_3,epoch_1,0.390897975059948,0.32779474284594606,0.33521502427752425,0.5142378559463987,0.5207514717828475
5,train,fold_3,epoch_2,0.4412027031662722,0.4168101133417834,0.41874446911827,0.7043551088777219,0.6511415035757188
6,train,fold_4,epoch_1,0.3798966025743411,0.3224534117976741,0.32808671836180864,0.5087866108786611,0.5247134235057522
7,train,fold_4,epoch_2,0.4501144804240063,0.41422166176264535,0.4154950959530725,0.7096234309623431,0.6556776623621167
8,train,fold_5,epoch_1,0.38296287919718885,0.3806010928961749,0.33623578791557357,0.5112970711297071,0.557260849688688
9,train,fold_5,epoch_2,0.4395694059918518,0.4165195460277427,0.41847813233197145,0.7020920502092051,0.6451578003542099
10,eval,fold_1,epoch_1,0.40603576751117726,0.38600217582759155,0.383153142449804,0.6722408026755853,0.548894721538588
11,eval,fold_1,epoch_2,0.43576678401581126,0.39244331623754514,0.38744793638773195,0.6956521739130435,0.5817826279667357
12,eval,fold_2,epoch_1,0.4559325396825396,0.4409743695457981,0.444246591604343,0.7190635451505016,0.6663960602427743
13,eval,fold_2,epoch_2,0.46937525520620654,0.43743558029272317,0.4420977011494253,0.7290969899665551,0.68838761824417
14,eval,fold_3,epoch_1,0.43606619926551243,0.4085755514326943,0.40953604734925914,0.6956521739130435,0.6240136978040459
15,eval,fold_3,epoch_2,0.44283167812579577,0.4239332096474954,0.4263768360153903,0.705685618729097,0.6415995700891942
16,eval,fold_4,epoch_1,0.3494851087467419,0.3408309903155264,0.31516037297621885,0.6409395973154363,0.6256278285808122
17,eval,fold_4,epoch_2,0.3668888888888889,0.35660731021555764,0.34641830870279144,0.6409395973154363,0.6420478124909966
18,eval,fold_5,epoch_1,0.4077380952380952,0.3998750390502968,0.40017368328667907,0.6677852348993288,0.6567946475850169
19,eval,fold_5,epoch_2,0.4385350797952425,0.4324863757853448,0.4338020313244992,0.7013422818791947,0.6801154752081623
