Lag,Pearson_Twitter,Spearman_Twitter,Kendall_Twitter,Granger_Sentiment_Twitter_Price,Granger_Price_Twitter_Sentiment
-24,0.014745320327565497,0.01953904109571667,0.014153207793215668,,
-23,0.005999685707802135,0.022289277515788797,0.016238236999986402,,
-22,0.007741365521172771,0.022999781943505052,0.016747327436249744,,
-21,0.008586355702570695,0.021653206221471218,0.015696236483431127,,
-20,0.006263756702521191,0.017376453777350993,0.012570676746258183,,
-19,-0.0006779121415293151,0.0014812931200648988,0.0010827641349896555,,
-18,0.0008842183796664835,0.0035045854460196905,0.0024839371841917594,,
-17,0.0010304678536073614,0.0021046707818198175,0.0014865359808841913,,
-16,-0.00398229575474416,-0.0059370804748694606,-0.004378866954861412,,
-15,-0.001422028637117624,-0.005057426240849524,-0.0036938228004550094,,
-14,-0.0007487188929227109,-0.0017940324295507282,-0.001250508346432596,,
-13,-0.00045678098158222376,0.0005761697765794285,0.0005946619872509043,,
-12,-4.72282417250669e-05,0.004347266747689621,0.0032986964099316015,,
-11,0.0014237170543891181,0.0037492961966553505,0.0028426441672257997,,
-10,-0.006265262974937535,-0.001503514138311173,-0.0010445917762939142,,
-9,-0.007620859545744914,-0.002745370057083724,-0.0020677003638437472,,
-8,-0.004632119895194539,0.0027384404129238583,0.0018093174870732589,,
-7,-0.007149042114982816,-0.0014078917361365414,-0.001277217001127181,,
-6,-0.0015788490505678674,0.010521492527623232,0.007491272972263701,,
-5,0.0010213350841694665,0.018569653050203413,0.013429430134431361,,
-4,0.010210966641572306,0.0169999305621616,0.012377654839842772,,
-3,1.816838599812392e-05,0.002262755404387049,0.0016331479945952106,,
-2,0.0054829810383946916,0.011361646420734854,0.008325529170359334,,
-1,0.006538269555213151,0.011317902463736066,0.008123061345374364,,
0,-0.00015625852395014482,0.0019671573137067747,0.0012853151634548917,,
1,-0.009984037719295201,-0.0008793953692554487,-0.0008010809703428765,0.3499741477360552,0.1973969031611808
2,-0.018512610983154952,-0.007609818156693971,-0.0056401802777639115,0.10455481486169896,0.256712121482054
3,-0.0204325157268483,-0.006201717379783642,-0.004628640048546949,0.15566779341748352,0.3227326233509468
4,-0.02199216093584794,-0.011866271148736406,-0.008635852847701062,0.2098187082575684,0.061301085809489196
5,-0.025124313653999815,-0.018627099364440222,-0.013506962207674214,0.20659775861493912,0.011924544184016414
6,-0.022920832702137142,-0.01866881573311126,-0.013487258195274352,0.29074927366962816,0.028900272376996
7,-0.013937057805503578,-0.010780401810626053,-0.007742185056846813,0.28745220109526026,0.035645840564273855
8,-0.009188974305107785,-0.013261710510747437,-0.009616930144557058,0.3549095815742301,0.041812647549152024
9,-0.0012719655799222304,-0.006628339179227268,-0.0048670295568128425,0.3227084301148438,0.05403663098183444
10,-0.003401791911781177,-0.006357925920402725,-0.0046046891970851645,0.3863695408985741,0.07929071841857245
11,-0.005987147250855791,-0.009128317798214878,-0.006547884640898415,0.425027647224995,0.060898870083491444
12,-0.00382351724477772,-0.0026034030960880115,-0.0019200719703787257,0.5132441869130638,0.03443998054215573
13,-0.0008920724371114367,-0.0019756083429923604,-0.0013186238752017048,0.5978510203141225,0.05178380515630818
14,0.000500011932978947,-0.0007473957286736762,-0.00045800193640931384,0.6674702679494942,0.06965053884102022
15,-0.0016774813882589634,-0.00043254227638656365,-0.0002910177277073906,0.6886689378171766,0.08175015081715346
16,-0.008412312139154077,-0.007541057206247906,-0.005410446005991733,0.5713984282565148,0.08331575287293057
17,-0.014986067443115106,-0.014007996600976385,-0.01015361883981616,0.4676076135267946,0.10012240313396545
18,-0.007982263925910468,-0.0010440224115113856,-0.0007323237201145354,0.46139396519748277,0.08084996610361996
19,0.002014657916583669,0.009099025354494826,0.00665693593244804,0.3023554619845923,0.10066007246322532
20,-0.010202985686199012,0.0012432081013395624,0.0009358558063961508,0.14040510451403118,0.09579366442271525
21,-0.003452592046507062,0.007301771640871674,0.0054157827009808255,0.13055107351474454,0.034055881591777186
22,-0.0019141592625211063,0.011388906451453913,0.008373139568629558,0.16171493646781537,0.026036809680544275
23,0.0011593416570174677,0.01196088311900818,0.008744086301362973,0.17475988154726865,0.03714896152246255
24,-0.007169582228924166,0.004705304103109153,0.0033449597950489336,0.14673795546765778,0.014059334074283726
